dp,ign
103.11111111111109,0.5970149253731378
103.11111111111109,1.492537313432834
111.99999999999994,1.6417910447761201
115.55555555555549,2.238805970149251
129.77777777777771,2.3134328358208975
135.1111111111111,2.238805970149251
132.44444444444446,2.5373134328358162
126.22222222222217,2.388059701492537
121.77777777777777,2.985074626865668
117.33333333333331,3.0597014925373145
115.55555555555549,3.0597014925373145
120.88888888888886,3.8059701492537314
118.22222222222223,3.8059701492537314
117.33333333333331,3.8059701492537314
115.55555555555549,3.9552238805970177
117.33333333333331,4.104477611940297
114.66666666666669,4.253731343283583
119.11111111111114,4.552238805970148
128,4.402985074626869
125.33333333333326,4.552238805970148
138.66666666666663,3.880597014925371
149.33333333333326,4.328358208955223
145.77777777777771,5
146.66666666666663,5.746268656716417
133.33333333333326,6.1940298507462686
128,5.67164179104477
116.4444444444444,5.223880597014919
113.77777777777777,4.850746268656714
115.55555555555549,5
111.11111111111103,4.626865671641788
108.44444444444446,4.925373134328353
106.66666666666663,4.402985074626869
108.44444444444446,4.029850746268657
113.77777777777777,3.8059701492537314
111.99999999999994,4.029850746268657
111.11111111111103,4.328358208955223
110.22222222222223,3.507462686567166
104.88888888888891,2.985074626865668
104.88888888888891,2.761194029850749
105.77777777777771,2.388059701492537
104,2.238805970149251
100.44444444444446,2.5373134328358162
96.88888888888886,2.3134328358208975
100.44444444444446,2.164179104477604
96,2.761194029850749
96,2.014925373134332
93.33333333333331,1.7910447761193993
97.77777777777771,3.507462686567166
103.11111111111109,3.5820895522388057
103.11111111111109,3.5820895522388057
100.44444444444446,3.8059701492537314
97.77777777777771,4.179104477611936
97.77777777777771,4.328358208955223
99.55555555555554,4.552238805970148
103.11111111111109,4.552238805970148
97.77777777777771,4.776119402985074
94.22222222222223,3.880597014925371
88.88888888888886,3.880597014925371
54.222222222222285,4.402985074626869
84.4444444444444,6.791044776119399
86.22222222222223,6.5671641791044735
93.33333333333331,6.791044776119399
97.77777777777771,6.865671641791039
104.88888888888891,6.865671641791039
104.88888888888891,6.5671641791044735
106.66666666666663,6.044776119402982
104.88888888888891,5.746268656716417
101.33333333333326,5.97014925373135
101.33333333333326,6.119402985074622
96,5.97014925373135
97.77777777777771,5.67164179104477
100.44444444444446,5.373134328358205
103.11111111111109,5.298507462686565
98.66666666666663,5.07462686567164
92.4444444444444,5.298507462686565
89.77777777777777,5.373134328358205
93.33333333333331,6.119402985074622
95.11111111111114,6.268656716417908
97.77777777777771,6.119402985074622
95.11111111111114,7.238805970149251
94.22222222222223,7.985074626865668
101.33333333333326,7.6865671641791025
99.55555555555554,7.3134328358208975
99.55555555555554,7.462686567164184
104,7.537313432835816
107.55555555555554,7.835820895522389
100.44444444444446,7.910447761194021
104,7.164179104477604
111.11111111111103,7.014925373134332
117.33333333333331,6.716417910447767
116.4444444444444,6.343283582089555
118.22222222222223,6.343283582089555
122.66666666666669,6.417910447761187
122.66666666666669,6.791044776119399
120.88888888888886,7.611940298507456
128,8.43283582089552
142.22222222222229,8.134328358208954
142.22222222222229,8.134328358208954
111.11111111111103,8.059701492537314
108.44444444444446,8.134328358208954
106.66666666666663,8.507462686567166
106.66666666666663,9.029850746268657
100.44444444444446,11.119402985074622
162.66666666666663,9.776119402985074
180.44444444444434,6.716417910447767
