Reactions	Percentage
R949: O2+C5H5N=C5H4N+HO2	-0.04081492297341842
R948: H+C5H5N=C5H4N+H2	-0.4242070682875081
R947: C5H5N=C5H4N+H	-1.4900767184826247
R951: O+C5H5N=C5H5NO	-1.9624900888883408
R950: O+C5H5N=C5H4N+OH	-13.749284417164361
R954: OH+C5H5N=C5H4N+H2O	-82.3327578055518
