Temperature	X-C5H5N
6.00000e+2	1.04730e-4
9.01935e+2	1.04730e-4
9.47097e+2	1.04392e-4
9.97419e+2	7.97297e-5
1.04903e+3	4.39189e-5
1.09806e+3	1.14865e-5
1.14839e+3	0.00000e+0
1.19871e+3	0.00000e+0
1.24645e+3	0.00000e+0
1.29677e+3	0.00000e+0
1.34581e+3	0.00000e+0
1.38839e+3	0.00000e+0
1.44774e+3	0.00000e+0
1.49677e+3	0.00000e+0
