Tinlet       	StrainRate   	dZr          	DSt          	ChiSt        	ChiQu        	ChiStQu      
1.000000E+03 	1.000000E+00 	7.749117E-02 	9.057367E-04 	3.928585E-02 	1.642187E+03 	2.392288E-05 
1.000000E+03 	2.000000E+00 	7.811707E-02 	9.044948E-04 	4.291368E-02 	1.642187E+03 	2.613203E-05 
1.000000E+03 	3.000000E+00 	7.882092E-02 	9.031346E-04 	4.686353E-02 	1.642187E+03 	2.853727E-05 
1.000000E+03 	4.000000E+00 	7.970811E-02 	9.019385E-04 	5.119979E-02 	1.642187E+03 	3.117781E-05 
1.000000E+03 	5.000000E+00 	7.955629E-02 	9.007967E-04 	5.597018E-02 	1.642187E+03 	3.408271E-05 
1.000000E+03 	6.000000E+00 	8.256903E-02 	8.996815E-04 	6.119773E-02 	1.642187E+03 	3.726599E-05 
1.000000E+03 	7.000000E+00 	8.508256E-02 	8.985775E-04 	6.692303E-02 	1.642187E+03 	4.075238E-05 
1.000000E+03 	8.000000E+00 	8.636933E-02 	8.975224E-04 	7.320259E-02 	1.642187E+03 	4.457628E-05 
1.000000E+03 	9.000000E+00 	8.677224E-02 	8.964848E-04 	8.008349E-02 	1.642187E+03 	4.876636E-05 
1.000000E+03 	1.000000E+01 	8.572409E-02 	8.951553E-04 	8.749511E-02 	1.642187E+03 	5.327963E-05 
1.000000E+03 	1.100000E+01 	8.623966E-02 	8.941641E-04 	9.576364E-02 	1.642187E+03 	5.831470E-05 
1.000000E+03 	1.200000E+01 	8.754415E-02 	8.932160E-04 	1.048342E-01 	1.642187E+03 	6.383816E-05 
1.000000E+03 	1.300000E+01 	8.885157E-02 	8.922916E-04 	1.147854E-01 	1.642187E+03 	6.989789E-05 
1.000000E+03 	1.400000E+01 	9.119248E-02 	8.913883E-04 	1.257059E-01 	1.642187E+03 	7.654786E-05 
1.000000E+03 	1.500000E+01 	9.156559E-02 	8.905079E-04 	1.376858E-01 	1.642187E+03 	8.384295E-05 
1.000000E+03 	1.600000E+01 	9.301553E-02 	9.122026E-04 	1.685980E-01 	1.642187E+03 	1.026667E-04 
1.000000E+03 	1.700000E+01 	9.985065E-02 	9.114524E-04 	1.847883E-01 	1.642187E+03 	1.125257E-04 
1.000000E+03 	1.800000E+01 	1.009632E-01 	9.107111E-04 	2.025183E-01 	1.642187E+03 	1.233223E-04 
1.000000E+03 	1.900000E+01 	1.019501E-01 	9.099729E-04 	2.219743E-01 	1.642187E+03 	1.351699E-04 
1.000000E+03 	2.000000E+01 	1.029978E-01 	9.092362E-04 	2.433266E-01 	1.642187E+03 	1.481723E-04 
1.000000E+03 	2.100000E+01 	1.013316E-01 	9.082039E-04 	2.663636E-01 	1.642187E+03 	1.622005E-04 
1.000000E+03 	2.200000E+01 	1.054729E-01 	9.074401E-04 	2.920566E-01 	1.642187E+03 	1.778461E-04 
1.000000E+03 	2.300000E+01 	1.067494E-01 	9.066911E-04 	3.202431E-01 	1.642187E+03 	1.950101E-04 
1.000000E+03 	2.400000E+01 	1.080245E-01 	9.059302E-04 	3.511754E-01 	1.642187E+03 	2.138462E-04 
1.000000E+03 	2.500000E+01 	1.093177E-01 	9.051545E-04 	3.851222E-01 	1.642187E+03 	2.345179E-04 
1.000000E+03 	2.600000E+01 	1.106171E-01 	9.043603E-04 	4.223770E-01 	1.642187E+03 	2.572040E-04 
1.000000E+03 	2.700000E+01 	1.119003E-01 	9.035436E-04 	4.632615E-01 	1.642187E+03 	2.821003E-04 
1.000000E+03 	2.800000E+01 	1.131441E-01 	9.027007E-04 	5.081289E-01 	1.642187E+03 	3.094221E-04 
