phi         	LBV         
5.000150E-01	9.148580E+00
5.500150E-01	1.255300E+01
6.000000E-01	1.594970E+01
6.500170E-01	1.919870E+01
7.000030E-01	2.219090E+01
7.500000E-01	2.488430E+01
8.000440E-01	2.722130E+01
8.500090E-01	2.919790E+01
8.999810E-01	3.079500E+01
9.499490E-01	3.201420E+01
1.000030E+00	3.285820E+01
1.050000E+00	3.332310E+01
1.100040E+00	3.342080E+01
1.150030E+00	3.316470E+01
1.200020E+00	3.256210E+01
1.249990E+00	3.162040E+01
1.299960E+00	3.036330E+01
1.349990E+00	2.879960E+01
1.399990E+00	2.694960E+01
1.449990E+00	2.484800E+01
1.500050E+00	2.254510E+01
1.550000E+00	2.009740E+01
1.599990E+00	1.759670E+01
