         time	  rf_minus_rp
5.162428E-04	-1.000000E+00
6.644043E-04	-1.000000E+00
8.125659E-04	-1.000000E+00
9.607274E-04	-1.000000E+00
1.108889E-03	-1.000000E+00
1.257051E-03	-1.000000E+00
1.405212E-03	-1.000000E+00
1.553374E-03	-1.000000E+00
1.701535E-03	-1.000000E+00
1.849697E-03	-1.000000E+00
1.997858E-03	-1.000000E+00
2.146020E-03	-1.000000E+00
2.294181E-03	-1.000000E+00
2.442343E-03	-1.000000E+00
2.590504E-03	-1.000000E+00
2.738666E-03	-1.000000E+00
2.886827E-03	-1.000000E+00
3.034989E-03	-1.000000E+00
3.183151E-03	-1.000000E+00
3.331312E-03	-1.000000E+00
3.479474E-03	-1.000000E+00
3.627635E-03	-1.000000E+00
3.775797E-03	-1.000000E+00
3.923958E-03	-1.000000E+00
4.072120E-03	-1.000000E+00
4.220281E-03	-1.000000E+00
4.368443E-03	-1.000000E+00
4.516604E-03	-1.000000E+00
4.664766E-03	-1.000000E+00
4.812928E-03	2.214921E+00
4.961089E-03	2.594053E+00
5.109251E-03	2.987684E+00
5.257412E-03	3.389297E+00
5.405574E-03	3.791964E+00
5.553735E-03	4.188541E+00
5.701897E-03	4.571871E+00
5.850058E-03	4.934979E+00
5.998220E-03	5.271248E+00
6.146381E-03	5.574590E+00
6.294543E-03	5.839588E+00
6.442705E-03	6.061619E+00
6.590866E-03	6.236955E+00
6.739028E-03	6.362836E+00
6.887189E-03	6.437517E+00
7.035351E-03	6.460292E+00
7.183512E-03	6.431492E+00
7.331674E-03	6.352457E+00
7.479835E-03	6.225493E+00
7.627997E-03	6.053801E+00
7.776158E-03	5.841396E+00
7.924320E-03	5.593008E+00
8.072482E-03	5.313972E+00
8.220643E-03	5.010105E+00
8.368805E-03	4.687586E+00
8.516966E-03	4.352824E+00
8.665128E-03	4.012326E+00
8.813289E-03	3.672574E+00
8.961451E-03	3.339897E+00
9.109612E-03	3.020355E+00
9.257774E-03	2.719633E+00
9.405935E-03	2.442936E+00
9.554097E-03	2.194910E+00
9.702259E-03	1.979561E+00
9.850420E-03	1.800199E+00
9.998582E-03	1.659389E+00
1.014674E-02	1.558920E+00
1.029490E-02	1.499792E+00
1.044307E-02	1.482209E+00
1.059123E-02	1.505594E+00
1.073939E-02	1.568613E+00
1.088755E-02	1.669216E+00
1.103571E-02	1.804683E+00
1.118387E-02	1.971687E+00
1.133204E-02	2.166364E+00
1.148020E-02	2.384388E+00
1.162836E-02	2.621055E+00
1.177652E-02	2.871373E+00
1.192468E-02	3.130150E+00
1.207284E-02	3.392088E+00
1.222100E-02	3.651874E+00
1.236917E-02	3.904273E+00
1.251733E-02	4.144213E+00
1.266549E-02	4.366870E+00
1.281365E-02	4.567743E+00
1.296181E-02	4.742727E+00
1.310997E-02	4.888174E+00
1.325814E-02	5.000948E+00
1.340630E-02	5.078467E+00
1.355446E-02	5.118740E+00
1.370262E-02	5.120392E+00
1.385078E-02	5.082674E+00
1.399894E-02	5.005468E+00
1.414710E-02	4.889282E+00
1.429527E-02	4.735229E+00
1.444343E-02	4.545001E+00
1.459159E-02	4.320834E+00
1.473975E-02	4.065464E+00
1.488791E-02	3.782073E+00
1.503607E-02	3.474231E+00
1.518424E-02	3.145834E+00
1.533240E-02	2.801033E+00
1.548056E-02	2.444165E+00
1.562872E-02	2.079677E+00
1.577688E-02	1.712054E+00
1.592504E-02	1.345743E+00
1.607320E-02	9.850822E-01
1.622137E-02	6.342325E-01
1.636953E-02	2.971098E-01
1.651769E-02	-1.000000E+00
1.666585E-02	-1.000000E+00
1.681401E-02	-1.000000E+00
1.696217E-02	-1.000000E+00
1.711034E-02	-1.000000E+00
1.725850E-02	-1.000000E+00
1.740666E-02	-1.000000E+00
1.755482E-02	-1.000000E+00
1.770298E-02	-1.000000E+00
1.785114E-02	-1.000000E+00
1.799930E-02	-1.000000E+00
1.814747E-02	-1.000000E+00
1.829563E-02	-1.000000E+00
1.844379E-02	-1.000000E+00
1.859195E-02	-1.000000E+00
1.874011E-02	-1.000000E+00
1.888827E-02	-1.000000E+00
1.903644E-02	-1.000000E+00
1.918460E-02	-1.000000E+00
1.933276E-02	-1.000000E+00
1.948092E-02	-1.000000E+00
1.962908E-02	-1.000000E+00
1.977724E-02	-1.000000E+00
1.992541E-02	-1.000000E+00
2.007357E-02	-1.000000E+00
2.022173E-02	-1.000000E+00
2.036989E-02	-1.000000E+00
2.051805E-02	-1.000000E+00
2.066621E-02	-1.000000E+00
2.081437E-02	-1.000000E+00
2.096254E-02	-1.000000E+00
2.111070E-02	-1.000000E+00
2.125886E-02	-1.000000E+00
2.140702E-02	-1.000000E+00
2.155518E-02	-1.000000E+00
2.170334E-02	-1.000000E+00
2.185151E-02	-1.000000E+00
2.199967E-02	-1.000000E+00
2.214783E-02	-1.000000E+00
2.229599E-02	-1.000000E+00
2.244415E-02	-1.000000E+00
2.259231E-02	-1.000000E+00
2.274047E-02	-1.000000E+00
2.288864E-02	-1.000000E+00
2.303680E-02	-1.000000E+00
2.318496E-02	-1.000000E+00
2.333312E-02	-1.000000E+00
2.348128E-02	-1.000000E+00
2.362944E-02	-1.000000E+00
2.377761E-02	-1.000000E+00
2.392577E-02	-1.000000E+00
2.407393E-02	-1.000000E+00
2.422209E-02	-1.000000E+00
2.437025E-02	-1.000000E+00
2.451841E-02	-1.000000E+00
2.466657E-02	-1.000000E+00
2.481474E-02	-1.000000E+00
2.496290E-02	-1.000000E+00
2.511106E-02	-1.000000E+00
2.525922E-02	-1.000000E+00
2.540738E-02	-1.000000E+00
2.555554E-02	-1.000000E+00
2.570371E-02	-1.000000E+00
2.585187E-02	-1.000000E+00
2.600003E-02	-1.000000E+00
2.614819E-02	-1.000000E+00
2.629635E-02	-1.000000E+00
2.644451E-02	-1.000000E+00
2.659267E-02	-1.000000E+00
2.674084E-02	-1.000000E+00
2.688900E-02	-1.000000E+00
2.703716E-02	-1.000000E+00
2.718532E-02	-1.000000E+00
2.733348E-02	-1.000000E+00
2.748164E-02	-1.000000E+00
2.762981E-02	-1.000000E+00
2.777797E-02	-1.000000E+00
2.792613E-02	-1.000000E+00
2.807429E-02	-1.000000E+00
2.822245E-02	-1.000000E+00
2.837061E-02	-1.000000E+00
2.851877E-02	-1.000000E+00
2.866694E-02	-1.000000E+00
2.881510E-02	-1.000000E+00
2.896326E-02	-1.000000E+00
2.911142E-02	-1.000000E+00
2.925958E-02	-1.000000E+00
2.940774E-02	-1.000000E+00
2.955591E-02	-1.000000E+00
2.970407E-02	-1.000000E+00
2.985223E-02	-1.000000E+00
3.000039E-02	-1.000000E+00
