         time	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.162428E-04	 6.609712E+02	 6.599712E+02	 6.589712E+02
 1.023007E-03	 6.889364E+02	 6.879364E+02	 6.869364E+02
 1.501611E-03	 6.891224E+02	 6.881224E+02	 6.871224E+02
 2.008368E-03	 7.149239E+02	 7.139239E+02	 7.129239E+02
 2.515124E-03	 7.051383E+02	 7.041383E+02	 7.031383E+02
 3.021881E-03	 7.191572E+02	 7.181572E+02	 7.171572E+02
 3.500485E-03	 7.051383E+02	 7.041383E+02	 7.031383E+02
 4.007242E-03	 6.652112E+02	 6.642112E+02	 6.632112E+02
 4.513998E-03	 6.250654E+02	 6.240654E+02	 6.230654E+02
 5.020755E-03	 7.927329E+00	 6.927329E+00	 5.927329E+00
 5.520503E-03	 7.632412E+00	 6.632412E+00	 5.632412E+00
 6.000174E-03	 4.463664E+00	 3.463664E+00	 2.463664E+00
 6.500362E-03	 6.656140E+00	 5.656140E+00	 4.656140E+00
 7.001344E-03	 8.998990E+00	 7.998990E+00	 6.998990E+00
 7.500666E-03	 9.245170E+00	 8.245170E+00	 7.245170E+00
 8.001272E-03	 9.245170E+00	 8.245170E+00	 7.245170E+00
 8.510091E-03	 4.999495E+00	 3.999495E+00	 2.999495E+00
 9.002733E-03	 2.999747E+00	 1.999747E+00	 9.997475E-01
 9.501149E-03	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.000085E-02	 4.999495E+00	 3.999495E+00	 2.999495E+00
 1.050003E-02	 5.471571E+00	 4.471571E+00	 3.471571E+00
 1.100202E-02	 3.828070E+00	 2.828070E+00	 1.828070E+00
 1.150125E-02	 3.828070E+00	 2.828070E+00	 1.828070E+00
 1.200057E-02	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.250173E-02	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.300097E-02	 5.471571E+00	 4.471571E+00	 3.471571E+00
 1.350222E-02	 6.656140E+00	 5.656140E+00	 4.656140E+00
 1.400065E-02	 8.998990E+00	 7.998990E+00	 6.998990E+00
 1.450117E-02	 9.484210E+00	 8.484210E+00	 7.484210E+00
 1.500109E-02	 8.482370E+00	 7.482370E+00	 6.482370E+00
 1.550372E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.602003E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.651196E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.700664E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.750323E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.800112E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.850007E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.902763E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.950002E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.000031E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.050039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.102767E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.152646E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.202418E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.252039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.300039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.350039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.400039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.450039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.500039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.550039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.600039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.650039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.700039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.750039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.800039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.850039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.900039E-02	 2.999747E+00	 1.999747E+00	 9.997475E-01
 2.950039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.000039E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
