phi         	LBV         
6.000060E-01	6.614030E+01
6.500030E-01	7.613900E+01
7.000000E-01	8.540140E+01
7.500030E-01	9.381740E+01
7.999820E-01	1.013890E+02
8.499940E-01	1.080760E+02
9.000190E-01	1.138940E+02
9.499890E-01	1.188260E+02
9.999790E-01	1.228790E+02
1.049980E+00	1.260730E+02
1.100020E+00	1.284000E+02
1.150010E+00	1.298590E+02
1.199980E+00	1.304520E+02
1.249980E+00	1.301760E+02
1.300030E+00	1.290210E+02
1.350000E+00	1.270020E+02
1.399970E+00	1.241300E+02
1.450010E+00	1.204420E+02
1.500000E+00	1.160590E+02
1.550030E+00	1.111950E+02
1.599970E+00	1.062290E+02
1.650000E+00	1.015300E+02
1.699990E+00	9.746240E+01
1.749970E+00	9.401350E+01
1.799970E+00	9.097040E+01
1.850020E+00	8.818730E+01
1.900010E+00	8.555700E+01
1.949980E+00	8.302890E+01
1.999960E+00	8.057550E+01
