         time	         Dpar	   rf_plus_rp	         rfrp	  rf_minus_rp
 3.501356E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.553359E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.601312E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.652667E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 3.700095E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.750617E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 3.800182E-02	 1.250000E-04	 4.995495E+00	 3.995495E+00	 2.995495E+00
 3.852121E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.902490E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.951156E-02	 1.250000E-04	 4.995495E+00	 3.995495E+00	 2.995495E+00
 4.001276E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 4.051088E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.101564E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 4.152527E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.202360E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.250274E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
