phi         	LBV         
5.000150E-01	9.232990E+00
5.500150E-01	1.262250E+01
6.000000E-01	1.598230E+01
6.500170E-01	1.918300E+01
7.000030E-01	2.212980E+01
7.500000E-01	2.477830E+01
8.000440E-01	2.706500E+01
8.500090E-01	2.899370E+01
8.999810E-01	3.053700E+01
9.499490E-01	3.170340E+01
1.000030E+00	3.248890E+01
1.050000E+00	3.289410E+01
1.100040E+00	3.293020E+01
1.150030E+00	3.260610E+01
1.200020E+00	3.193020E+01
1.249990E+00	3.091820E+01
1.299960E+00	2.958480E+01
1.349990E+00	2.794560E+01
1.399990E+00	2.602820E+01
1.449990E+00	2.386590E+01
1.500050E+00	2.151160E+01
1.550000E+00	1.903620E+01
1.599990E+00	1.653260E+01
