time	Max
5.000686E-04	0.000000E+00
7.035862E-04	0.000000E+00
9.071038E-04	0.000000E+00
1.110621E-03	0.000000E+00
1.314139E-03	0.000000E+00
1.517657E-03	0.000000E+00
1.721174E-03	0.000000E+00
1.924692E-03	0.000000E+00
2.128209E-03	0.000000E+00
2.331727E-03	0.000000E+00
2.535245E-03	0.000000E+00
2.738762E-03	0.000000E+00
2.942280E-03	0.000000E+00
3.145797E-03	0.000000E+00
3.349315E-03	0.000000E+00
3.552833E-03	0.000000E+00
3.756350E-03	0.000000E+00
3.959868E-03	0.000000E+00
4.163385E-03	0.000000E+00
4.366903E-03	0.000000E+00
4.570420E-03	0.000000E+00
4.773938E-03	0.000000E+00
4.977456E-03	0.000000E+00
5.180973E-03	0.000000E+00
5.384491E-03	0.000000E+00
5.588008E-03	0.000000E+00
5.791526E-03	0.000000E+00
5.995044E-03	0.000000E+00
6.198561E-03	0.000000E+00
6.402079E-03	0.000000E+00
6.605596E-03	0.000000E+00
6.809114E-03	0.000000E+00
7.012632E-03	0.000000E+00
7.216149E-03	0.000000E+00
7.419667E-03	0.000000E+00
7.623184E-03	0.000000E+00
7.826702E-03	0.000000E+00
8.030220E-03	0.000000E+00
8.233737E-03	0.000000E+00
8.437255E-03	0.000000E+00
8.640772E-03	0.000000E+00
8.844290E-03	0.000000E+00
9.047808E-03	0.000000E+00
9.251325E-03	0.000000E+00
9.454843E-03	0.000000E+00
9.658360E-03	0.000000E+00
9.861878E-03	0.000000E+00
1.006540E-02	0.000000E+00
1.026891E-02	0.000000E+00
1.047243E-02	0.000000E+00
1.067595E-02	-3.341290E-01
1.087947E-02	-3.159790E-01
1.108298E-02	-2.822220E-01
1.128650E-02	-2.318949E-01
1.149002E-02	-1.642505E-01
1.169354E-02	-7.876355E-02
1.189705E-02	2.486555E-02
1.210057E-02	1.467121E-01
1.230409E-02	2.866313E-01
1.250761E-02	4.442655E-01
1.271112E-02	6.190548E-01
1.291464E-02	8.102496E-01
1.311816E-02	1.016926E+00
1.332168E-02	1.238001E+00
1.352519E-02	1.472253E+00
1.372871E-02	1.718340E+00
1.393223E-02	1.974818E+00
1.413575E-02	2.240163E+00
1.433927E-02	2.512793E+00
1.454278E-02	2.791082E+00
1.474630E-02	3.073387E+00
1.494982E-02	3.358063E+00
1.515334E-02	3.643480E+00
1.535685E-02	3.928043E+00
1.556037E-02	4.210206E+00
1.576389E-02	4.488483E+00
1.596741E-02	4.761466E+00
1.617092E-02	5.027832E+00
1.637444E-02	5.286354E+00
1.657796E-02	5.535907E+00
1.678148E-02	5.775475E+00
1.698499E-02	6.004155E+00
1.718851E-02	6.221160E+00
1.739203E-02	6.425819E+00
1.759555E-02	6.617578E+00
1.779906E-02	6.795997E+00
1.800258E-02	6.960749E+00
1.820610E-02	7.111613E+00
1.840962E-02	7.248473E+00
1.861313E-02	7.371306E+00
1.881665E-02	7.480184E+00
1.902017E-02	7.575259E+00
1.922369E-02	7.656760E+00
1.942720E-02	7.724981E+00
1.963072E-02	7.780278E+00
1.983424E-02	7.823058E+00
2.003776E-02	7.853770E+00
2.024128E-02	7.872899E+00
2.044479E-02	7.880959E+00
2.064831E-02	7.878481E+00
2.085183E-02	7.866013E+00
2.105535E-02	7.844107E+00
2.125886E-02	7.813320E+00
2.146238E-02	7.774202E+00
2.166590E-02	7.727297E+00
2.186942E-02	7.673135E+00
2.207293E-02	7.612232E+00
2.227645E-02	7.545085E+00
2.247997E-02	7.472173E+00
2.268349E-02	7.393954E+00
2.288700E-02	7.310862E+00
2.309052E-02	7.223311E+00
2.329404E-02	7.131696E+00
2.349756E-02	7.036388E+00
2.370107E-02	6.937742E+00
2.390459E-02	6.836096E+00
2.410811E-02	6.731772E+00
2.431163E-02	6.625080E+00
2.451514E-02	6.516319E+00
2.471866E-02	6.405781E+00
2.492218E-02	6.293752E+00
2.512570E-02	6.180515E+00
2.532922E-02	6.066355E+00
2.553273E-02	5.951556E+00
2.573625E-02	5.836407E+00
2.593977E-02	5.721200E+00
2.614329E-02	5.606237E+00
2.634680E-02	5.491825E+00
2.655032E-02	5.378280E+00
2.675384E-02	5.265926E+00
2.695736E-02	5.155094E+00
2.716087E-02	5.046121E+00
2.736439E-02	4.939350E+00
2.756791E-02	4.835128E+00
2.777143E-02	4.733799E+00
2.797494E-02	4.635708E+00
2.817846E-02	4.541192E+00
2.838198E-02	4.450578E+00
2.858550E-02	4.364178E+00
2.878901E-02	4.282284E+00
2.899253E-02	4.205164E+00
2.919605E-02	4.133054E+00
2.939957E-02	4.066154E+00
2.960308E-02	4.004620E+00
2.980660E-02	3.948561E+00
3.001012E-02	3.898030E+00
3.021364E-02	3.853016E+00
3.041716E-02	3.813442E+00
3.062067E-02	3.779159E+00
3.082419E-02	3.749935E+00
3.102771E-02	3.725458E+00
3.123123E-02	3.705323E+00
3.143474E-02	3.689038E+00
3.163826E-02	3.676013E+00
3.184178E-02	3.665563E+00
3.204530E-02	3.656907E+00
3.224881E-02	3.649169E+00
3.245233E-02	3.641384E+00
3.265585E-02	3.632498E+00
3.285937E-02	3.621379E+00
3.306288E-02	3.606825E+00
3.326640E-02	3.587580E+00
3.346992E-02	3.562341E+00
3.367344E-02	3.529787E+00
3.387695E-02	3.488590E+00
3.408047E-02	3.437446E+00
3.428399E-02	3.375099E+00
3.448751E-02	3.300378E+00
3.469102E-02	3.212224E+00
3.489454E-02	3.109734E+00
3.509806E-02	2.992201E+00
3.530158E-02	2.859155E+00
3.550509E-02	2.710411E+00
3.570861E-02	2.546115E+00
3.591213E-02	2.366792E+00
3.611565E-02	2.173388E+00
3.631917E-02	1.967318E+00
3.652268E-02	1.750499E+00
3.672620E-02	1.525380E+00
3.692972E-02	1.294966E+00
3.713324E-02	1.062811E+00
3.733675E-02	8.330119E-01
3.754027E-02	6.101622E-01
3.774379E-02	3.992795E-01
3.794731E-02	2.056925E-01
3.815082E-02	3.488034E-02
3.835434E-02	-1.077475E-01
3.855786E-02	-2.171429E-01
3.876138E-02	-2.889948E-01
3.896489E-02	-3.202063E-01
3.916841E-02	-3.094921E-01
3.937193E-02	-2.581150E-01
3.957545E-02	-1.707870E-01
3.977896E-02	-5.676281E-02
3.998248E-02	6.884526E-02
4.018600E-02	1.834957E-01
4.038952E-02	2.553506E-01
4.059303E-02	2.410675E-01
4.079655E-02	8.320203E-02
4.100007E-02	-2.928319E-01
