         time	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.211610E-04	 5.785794E+02	 5.775794E+02	 5.765794E+02
 1.029033E-03	 5.818010E+02	 5.808010E+02	 5.798010E+02
 1.536845E-03	 6.175972E+02	 6.165972E+02	 6.155972E+02
 2.005595E-03	 6.128919E+02	 6.118919E+02	 6.108919E+02
 2.513408E-03	 6.050892E+02	 6.040892E+02	 6.030892E+02
 3.021220E-03	 6.144524E+02	 6.134524E+02	 6.124524E+02
 3.529033E-03	 6.097888E+02	 6.087888E+02	 6.077888E+02
 4.036845E-03	 6.036803E+02	 6.026803E+02	 6.016803E+02
 4.505595E-03	 5.074981E+02	 5.064981E+02	 5.054981E+02
 5.013408E-03	 1.055696E+02	 1.045696E+02	 1.035696E+02
 5.521220E-03	 1.149341E+02	 1.139341E+02	 1.129341E+02
 6.029033E-03	 1.274200E+02	 1.264200E+02	 1.254200E+02
 6.536845E-03	 1.367844E+02	 1.357844E+02	 1.347844E+02
 7.005595E-03	 1.445881E+02	 1.435881E+02	 1.425881E+02
 7.513408E-03	 1.648777E+02	 1.638777E+02	 1.628777E+02
 8.021220E-03	 1.742422E+02	 1.732422E+02	 1.722422E+02
 8.529033E-03	 1.836066E+02	 1.826066E+02	 1.816066E+02
 9.036845E-03	 1.929711E+02	 1.919711E+02	 1.909711E+02
 9.505595E-03	 2.023355E+02	 2.013355E+02	 2.003355E+02
 1.001341E-02	 2.117000E+02	 2.107000E+02	 2.097000E+02
 1.052122E-02	 2.195037E+02	 2.185037E+02	 2.175037E+02
 1.102903E-02	 2.288681E+02	 2.278681E+02	 2.268681E+02
 1.153685E-02	 2.382325E+02	 2.372325E+02	 2.362325E+02
 1.200558E-02	 2.460362E+02	 2.450362E+02	 2.440362E+02
 1.251268E-02	 2.554007E+02	 2.544007E+02	 2.534007E+02
 1.301869E-02	 2.632044E+02	 2.622044E+02	 2.612044E+02
 1.352328E-02	 5.682221E+00	 4.682221E+00	 3.682221E+00
 1.402596E-02	 6.627330E+00	 5.627330E+00	 4.627330E+00
 1.452630E-02	 6.406563E+00	 5.406563E+00	 4.406563E+00
 1.502375E-02	 5.682221E+00	 4.682221E+00	 3.682221E+00
 1.551117E-02	 5.414441E+00	 4.414441E+00	 3.414441E+00
 1.600313E-02	 3.703282E+00	 2.703282E+00	 1.703282E+00
 1.650566E-02	 2.560740E+00	 1.560740E+00	 5.607404E-01
 1.700057E-02	 2.560740E+00	 1.560740E+00	 5.607404E-01
 1.750185E-02	 3.703282E+00	 2.703282E+00	 1.703282E+00
 1.800123E-02	 5.682221E+00	 4.682221E+00	 3.682221E+00
 1.850053E-02	 6.839756E+00	 5.839756E+00	 4.839756E+00
 1.900076E-02	 7.621661E+00	 6.621661E+00	 5.621661E+00
 1.950174E-02	 7.803110E+00	 6.803110E+00	 5.803110E+00
 2.000185E-02	 7.979843E+00	 6.979843E+00	 5.979843E+00
 2.050214E-02	 7.979843E+00	 6.979843E+00	 5.979843E+00
 2.100115E-02	 8.803702E+00	 7.803702E+00	 6.803702E+00
 2.150115E-02	 8.803702E+00	 7.803702E+00	 6.803702E+00
 2.200216E-02	 8.320522E+00	 7.320522E+00	 6.320522E+00
 2.250255E-02	 8.320522E+00	 7.320522E+00	 6.320522E+00
