         time	  rf_minus_rp
5.211610E-04	-1.000000E+00
8.025121E-04	-1.000000E+00
1.083863E-03	-1.000000E+00
1.365214E-03	-1.000000E+00
1.646565E-03	-1.000000E+00
1.927917E-03	-1.000000E+00
2.209268E-03	-1.000000E+00
2.490619E-03	-1.000000E+00
2.771970E-03	-1.000000E+00
3.053321E-03	-1.000000E+00
3.334672E-03	-1.000000E+00
3.616023E-03	-1.000000E+00
3.897374E-03	-1.000000E+00
4.178725E-03	-1.000000E+00
4.460076E-03	-1.000000E+00
4.741428E-03	-1.000000E+00
5.022779E-03	-1.000000E+00
5.304130E-03	-1.000000E+00
5.585481E-03	-1.000000E+00
5.866832E-03	-1.000000E+00
6.148183E-03	-1.000000E+00
6.429534E-03	-1.000000E+00
6.710885E-03	-1.000000E+00
6.992236E-03	-1.000000E+00
7.273587E-03	-1.000000E+00
7.554939E-03	-1.000000E+00
7.836290E-03	-1.000000E+00
8.117641E-03	-1.000000E+00
8.398992E-03	-1.000000E+00
8.680343E-03	-1.000000E+00
8.961694E-03	-1.000000E+00
9.243045E-03	-1.000000E+00
9.524396E-03	-1.000000E+00
9.805747E-03	-1.000000E+00
1.008710E-02	-1.000000E+00
1.036845E-02	-1.000000E+00
1.064980E-02	-1.000000E+00
1.093115E-02	-1.000000E+00
1.121250E-02	-1.000000E+00
1.149385E-02	-1.000000E+00
1.177521E-02	-1.000000E+00
1.205656E-02	-1.000000E+00
1.233791E-02	-1.000000E+00
1.261926E-02	-1.000000E+00
1.290061E-02	-1.000000E+00
1.318196E-02	-1.000000E+00
1.346331E-02	1.264210E+00
1.374466E-02	1.451800E+00
1.402601E-02	1.652438E+00
1.430736E-02	1.864438E+00
1.458872E-02	2.085839E+00
1.487007E-02	2.314448E+00
1.515142E-02	2.547885E+00
1.543277E-02	2.783636E+00
1.571412E-02	3.019100E+00
1.599547E-02	3.251644E+00
1.627682E-02	3.478654E+00
1.655817E-02	3.697582E+00
1.683952E-02	3.905992E+00
1.712088E-02	4.101606E+00
1.740223E-02	4.282338E+00
1.768358E-02	4.446331E+00
1.796493E-02	4.591978E+00
1.824628E-02	4.717952E+00
1.852763E-02	4.823216E+00
