        time	        Dpar	         Min	         Mid	         Max
5.211610E-04	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.029033E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.536845E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.005595E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.513408E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.021220E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.529033E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.036845E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.505595E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
5.013408E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
5.521220E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
6.029033E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
6.536845E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
7.005595E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
7.513408E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
8.021220E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
8.529033E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
9.036845E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
9.505595E-03	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.001341E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.052122E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.102903E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.153685E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.200558E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.251268E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.301869E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.352328E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.402596E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.452630E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.502375E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.551117E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.600313E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.650566E-02	1.600000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.700057E-02	1.600000E-04	0.000000E+00	1.562500E+00	3.125000E+00
1.750185E-02	1.600000E-04	1.562500E+00	2.343750E+00	3.906250E+00
1.800123E-02	1.600000E-04	3.125000E+00	3.125000E+00	4.687500E+00
1.850053E-02	1.600000E-04	3.906250E+00	3.906250E+00	5.468750E+00
1.900076E-02	1.600000E-04	3.906250E+00	4.687500E+00	7.031250E+00
