time	Mid
5.211610E-04	0.000000E+00
8.025121E-04	0.000000E+00
1.083863E-03	0.000000E+00
1.365214E-03	0.000000E+00
1.646565E-03	0.000000E+00
1.927917E-03	0.000000E+00
2.209268E-03	0.000000E+00
2.490619E-03	0.000000E+00
2.771970E-03	0.000000E+00
3.053321E-03	0.000000E+00
3.334672E-03	0.000000E+00
3.616023E-03	0.000000E+00
3.897374E-03	0.000000E+00
4.178725E-03	0.000000E+00
4.460076E-03	0.000000E+00
4.741428E-03	0.000000E+00
5.022779E-03	0.000000E+00
5.304130E-03	0.000000E+00
5.585481E-03	0.000000E+00
5.866832E-03	0.000000E+00
6.148183E-03	0.000000E+00
6.429534E-03	0.000000E+00
6.710885E-03	0.000000E+00
6.992236E-03	0.000000E+00
7.273587E-03	0.000000E+00
7.554939E-03	0.000000E+00
7.836290E-03	0.000000E+00
8.117641E-03	0.000000E+00
8.398992E-03	0.000000E+00
8.680343E-03	0.000000E+00
8.961694E-03	0.000000E+00
9.243045E-03	0.000000E+00
9.524396E-03	0.000000E+00
9.805747E-03	0.000000E+00
1.008710E-02	0.000000E+00
1.036845E-02	0.000000E+00
1.064980E-02	0.000000E+00
1.093115E-02	0.000000E+00
1.121250E-02	0.000000E+00
1.149385E-02	0.000000E+00
1.177521E-02	0.000000E+00
1.205656E-02	0.000000E+00
1.233791E-02	0.000000E+00
1.261926E-02	0.000000E+00
1.290061E-02	0.000000E+00
1.318196E-02	0.000000E+00
1.346331E-02	-7.383033E-01
1.374466E-02	-6.533437E-01
1.402601E-02	-5.308466E-01
1.430736E-02	-3.712755E-01
1.458872E-02	-1.759372E-01
1.487007E-02	5.306768E-02
1.515142E-02	3.129111E-01
1.543277E-02	6.001182E-01
1.571412E-02	9.106586E-01
1.599547E-02	1.240047E+00
1.627682E-02	1.583449E+00
1.655817E-02	1.935791E+00
1.683952E-02	2.291869E+00
1.712088E-02	2.646459E+00
1.740223E-02	2.994422E+00
1.768358E-02	3.330799E+00
1.796493E-02	3.650908E+00
1.824628E-02	3.950423E+00
1.852763E-02	4.225446E+00
1.880898E-02	4.472571E+00
1.909033E-02	4.688928E+00
1.937168E-02	4.872225E+00
1.965304E-02	5.020771E+00
1.993439E-02	5.133487E+00
2.021574E-02	5.209904E+00
2.049709E-02	5.250157E+00
2.077844E-02	5.254959E+00
2.105979E-02	5.225569E+00
2.134114E-02	5.163752E+00
2.162249E-02	5.071729E+00
2.190384E-02	4.952124E+00
2.218520E-02	4.807901E+00
2.246655E-02	4.642300E+00
2.274790E-02	4.458771E+00
2.302925E-02	4.260906E+00
2.331060E-02	4.052372E+00
2.359195E-02	3.836840E+00
2.387330E-02	3.617928E+00
2.415465E-02	3.399132E+00
2.443600E-02	3.183780E+00
2.471736E-02	2.974974E+00
2.499871E-02	2.775549E+00
2.528006E-02	2.588036E+00
2.556141E-02	2.414634E+00
2.584276E-02	2.257181E+00
2.612411E-02	2.117147E+00
2.640546E-02	1.995623E+00
2.668681E-02	1.893322E+00
2.696816E-02	1.810587E+00
2.724952E-02	1.747405E+00
2.753087E-02	1.703432E+00
2.781222E-02	1.678012E+00
2.809357E-02	1.670218E+00
2.837492E-02	1.678880E+00
2.865627E-02	1.702629E+00
2.893762E-02	1.739939E+00
2.921897E-02	1.789164E+00
2.950032E-02	1.848589E+00
2.978168E-02	1.916470E+00
3.006303E-02	1.991074E+00
3.034438E-02	2.070722E+00
3.062573E-02	2.153822E+00
3.090708E-02	2.238904E+00
3.118843E-02	2.324649E+00
3.146978E-02	2.409907E+00
3.175113E-02	2.493719E+00
3.203248E-02	2.575330E+00
3.231384E-02	2.654189E+00
3.259519E-02	2.729953E+00
3.287654E-02	2.802478E+00
3.315789E-02	2.871807E+00
3.343924E-02	2.938154E+00
3.372059E-02	3.001876E+00
3.400194E-02	3.063450E+00
3.428329E-02	3.123437E+00
3.456464E-02	3.182453E+00
3.484600E-02	3.241125E+00
3.512735E-02	3.300059E+00
3.540870E-02	3.359796E+00
3.569005E-02	3.420779E+00
3.597140E-02	3.483317E+00
3.625275E-02	3.547548E+00
3.653410E-02	3.613416E+00
3.681545E-02	3.680642E+00
3.709680E-02	3.748712E+00
3.737816E-02	3.816859E+00
3.765951E-02	3.884064E+00
3.794086E-02	3.949059E+00
3.822221E-02	4.010339E+00
3.850356E-02	4.066182E+00
3.878491E-02	4.114681E+00
3.906626E-02	4.153779E+00
3.934761E-02	4.181315E+00
3.962896E-02	4.195079E+00
3.991032E-02	4.192867E+00
4.019167E-02	4.172550E+00
4.047302E-02	4.132137E+00
4.075437E-02	4.069850E+00
4.103572E-02	3.984193E+00
4.131707E-02	3.874020E+00
4.159842E-02	3.738604E+00
4.187977E-02	3.577698E+00
4.216112E-02	3.391586E+00
4.244247E-02	3.181128E+00
4.272383E-02	2.947792E+00
4.300518E-02	2.693669E+00
4.328653E-02	2.421477E+00
4.356788E-02	2.134543E+00
4.384923E-02	1.836769E+00
4.413058E-02	1.532577E+00
4.441193E-02	1.226831E+00
4.469328E-02	9.247444E-01
4.497463E-02	6.317611E-01
4.525599E-02	3.534227E-01
4.553734E-02	9.521675E-02
4.581869E-02	-1.375894E-01
4.610004E-02	-3.401241E-01
4.638139E-02	-5.080923E-01
4.666274E-02	-6.379600E-01
4.694409E-02	-7.271287E-01
4.722544E-02	-7.741053E-01
4.750679E-02	-7.786444E-01
4.778815E-02	-7.418669E-01
4.806950E-02	-6.663433E-01
4.835085E-02	-5.561324E-01
4.863220E-02	-4.167586E-01
4.891355E-02	-2.551421E-01
4.919490E-02	-7.944567E-02
4.947625E-02	1.011514E-01
4.975760E-02	2.767478E-01
5.003895E-02	4.371165E-01
5.032031E-02	5.721635E-01
5.060166E-02	6.724734E-01
5.088301E-02	7.299114E-01
5.116436E-02	7.382787E-01
5.144571E-02	6.939826E-01
5.172706E-02	5.966933E-01
5.200841E-02	4.499513E-01
5.228976E-02	2.616325E-01
5.257111E-02	4.425646E-02
5.285247E-02	-1.850359E-01
5.313382E-02	-4.048665E-01
5.341517E-02	-5.905588E-01
5.369652E-02	-7.157690E-01
5.397787E-02	-7.550301E-01
5.425922E-02	-6.873757E-01
5.454057E-02	-5.014139E-01
5.482192E-02	-2.020622E-01
5.510327E-02	1.806386E-01
5.538463E-02	5.802080E-01
5.566598E-02	8.794572E-01
5.594733E-02	8.926971E-01
5.622868E-02	3.438266E-01
5.651003E-02	-1.160477E+00
