phi         	LBV         
3.999940E-01	1.329030E+02
4.499900E-01	1.566190E+02
5.000070E-01	1.775270E+02
5.500050E-01	1.957320E+02
6.000060E-01	2.114180E+02
6.500030E-01	2.246110E+02
7.000000E-01	2.355240E+02
7.500080E-01	2.442730E+02
7.999870E-01	2.510080E+02
8.500030E-01	2.558590E+02
9.000070E-01	2.589340E+02
9.499920E-01	2.603430E+02
9.999830E-01	2.601840E+02
1.049980E+00	2.585340E+02
1.100010E+00	2.554750E+02
1.150000E+00	2.510670E+02
1.199990E+00	2.453700E+02
1.250000E+00	2.384570E+02
1.300010E+00	2.304050E+02
1.350000E+00	2.211890E+02
1.399980E+00	2.110320E+02
1.450000E+00	1.998720E+02
1.500000E+00	1.880720E+02
1.550010E+00	1.755570E+02
1.600000E+00	1.629070E+02
