phi         	LBV         
8.000000E-01	1.165000E+01
8.500200E-01	1.282110E+01
8.999820E-01	1.366810E+01
9.500240E-01	1.407860E+01
1.000000E+00	1.408690E+01
1.049990E+00	1.363720E+01
1.099970E+00	1.272740E+01
1.149960E+00	1.133500E+01
1.200000E+00	9.524120E+00
1.249940E+00	7.352980E+00
1.299990E+00	5.166700E+00
