[K]_0	X-CO_0	X-CO2_0
9.00000E+02	1.71000E+02	6.36836E-05
9.50000E+02	1.70997E+02	3.20083E-03
1.00343E+03	1.33451E+02	3.88769E+01
1.06475E+03	2.43951E+01	1.59634E+02
1.11734E+03	7.32949E+00	1.84033E+02
1.21890E+03	1.36546E+00	1.98351E+02
1.31906E+03	2.50787E-01	2.02239E+02
1.41879E+03	3.38870E-02	2.02930E+02
