x[cm]_2	X-NO_2
0.000000E+00	2.451500E-03
5.220440E-03	2.634400E-03
1.044090E-02	2.831110E-03
1.566130E-02	3.042710E-03
2.088180E-02	3.270320E-03
2.610220E-02	3.515180E-03
3.132260E-02	3.778610E-03
3.654310E-02	4.062060E-03
4.176320E-02	4.367050E-03
4.697480E-02	4.694710E-03
5.217040E-02	5.046190E-03
5.735700E-02	5.423710E-03
6.251840E-02	5.827880E-03
6.763310E-02	6.258580E-03
7.272280E-02	6.719320E-03
7.776540E-02	7.209850E-03
8.271980E-02	7.727320E-03
8.763110E-02	8.277680E-03
9.248330E-02	8.860690E-03
9.721590E-02	9.469740E-03
1.018860E-01	1.011280E-02
1.065000E-01	1.079100E-02
1.109930E-01	1.149290E-02
1.154070E-01	1.222510E-02
1.197660E-01	1.299210E-02
1.240160E-01	1.378430E-02
1.281780E-01	1.460480E-02
1.322860E-01	1.546090E-02
1.363030E-01	1.634480E-02
1.402290E-01	1.725540E-02
1.441020E-01	1.820170E-02
1.478970E-01	1.917740E-02
1.516030E-01	2.017860E-02
1.552570E-01	2.121530E-02
1.588440E-01	2.228280E-02
1.623490E-01	2.337550E-02
1.658060E-01	2.450400E-02
1.692040E-01	2.566450E-02
1.725260E-01	2.685040E-02
1.758060E-01	2.807270E-02
1.790350E-01	2.932840E-02
1.821990E-01	3.061090E-02
1.853240E-01	3.193100E-02
1.884060E-01	3.328620E-02
1.914320E-01	3.467060E-02
1.944250E-01	3.609440E-02
1.973780E-01	3.755440E-02
2.002840E-01	3.904630E-02
2.031610E-01	4.057930E-02
2.060010E-01	4.214900E-02
2.087990E-01	4.375200E-02
2.115700E-01	4.539300E-02
2.143050E-01	4.706080E-02
2.170000E-01	4.875430E-02
2.196700E-01	5.048330E-02
2.223070E-01	5.224170E-02
2.249040E-01	5.402440E-02
2.274790E-01	5.584310E-02
2.300250E-01	5.769200E-02
2.325320E-01	5.956260E-02
2.350180E-01	6.146920E-02
2.374800E-01	6.340770E-02
2.399020E-01	6.536510E-02
