[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.17873E+02	1.77903E-05	1.54990E-08
9.50000E+02	3.17797E+02	7.41618E-04	8.53261E-07
1.00343E+03	2.92332E+02	6.94633E+00	1.32065E+00
1.06475E+03	1.72883E+02	3.99974E+01	2.42566E+01
1.11734E+03	1.03977E+02	6.31310E+01	3.81790E+01
1.21890E+03	2.77204E+01	1.32768E+02	4.02458E+01
1.31906E+03	3.89740E+00	2.12519E+02	2.12683E+01
1.41879E+03	1.59855E-01	2.62446E+02	5.23494E+00
