[K]_0	X-CO_0	X-CO2_0	X-HNCO_0
9.00000E+02	2.68017E-06	1.15479E-07	1.79605E-05
9.50000E+02	6.23854E-05	3.15757E-06	4.20575E-04
9.99999E+02	2.49766E-03	1.46211E-04	1.69014E-02
1.05000E+03	1.66107E-01	1.52133E-02	1.08850E+00
1.10021E+03	5.62572E+00	2.85248E+00	2.17039E+01
1.20262E+03	2.86568E+01	1.13500E+02	5.51799E+01
1.30527E+03	9.19197E+00	2.93459E+02	1.51944E+01
1.40569E+03	6.44109E-01	3.34662E+02	1.00476E+00
