[K]_0	X-NO_0	X-NH3_0
1.00000E+03	1.47678E-02	4.67949E+02
1.10003E+03	1.95490E-01	4.67339E+02
1.20037E+03	1.59091E+00	4.60183E+02
1.35655E+03	1.34847E+02	1.42206E-03
1.45580E+03	1.56526E+02	1.39635E-04
1.55515E+03	1.75562E+02	1.12133E-04
1.65454E+03	1.95976E+02	1.52641E-04
1.75398E+03	2.15092E+02	1.95803E-04
1.85344E+03	2.30388E+02	2.06497E-04
