[ms]_0	C-NO_0	C-OH_0
0.00000E+00	0.00000E+00	0.00000E+00
1.00000E-08	1.30951E-25	1.25710E-19
2.00000E-08	3.93462E-25	3.77130E-19
3.00000E-08	7.88141E-25	7.54259E-19
6.09484E-08	2.86157E-24	2.72411E-18
9.18967E-08	6.08162E-24	5.76422E-18
1.22845E-07	1.05581E-23	9.96378E-18
1.53793E-07	1.63395E-23	1.53525E-17
2.18983E-07	3.29410E-23	3.06376E-17
3.37673E-07	7.91263E-23	7.21770E-17
5.16505E-07	1.89693E-22	1.68197E-16
6.95337E-07	3.52158E-22	3.04410E-16
8.74169E-07	5.69883E-22	4.80820E-16
1.25770E-06	1.24105E-21	9.94691E-16
1.64122E-06	2.21515E-21	1.69342E-15
2.02475E-06	3.52554E-21	2.57700E-15
2.40828E-06	5.20725E-21	3.64539E-15
2.79181E-06	7.29510E-21	4.89857E-15
3.17533E-06	9.82341E-21	6.33651E-15
3.86087E-06	1.55468E-20	9.36693E-15
4.54640E-06	2.29798E-20	1.29874E-14
5.23193E-06	3.23155E-20	1.71976E-14
5.91747E-06	4.37467E-20	2.19974E-14
7.05983E-06	6.79725E-20	3.13049E-14
8.20220E-06	9.94373E-20	4.22477E-14
9.34456E-06	1.39024E-19	5.48248E-14
1.04869E-05	1.87612E-19	6.90347E-14
1.16293E-05	2.46077E-19	8.48763E-14
1.27716E-05	3.15292E-19	1.02348E-13
1.39140E-05	3.96124E-19	1.21449E-13
1.59066E-05	5.67506E-19	1.58661E-13
1.78992E-05	7.81431E-19	2.00816E-13
1.98918E-05	1.04243E-18	2.47909E-13
2.18845E-05	1.35501E-18	2.99929E-13
2.38771E-05	1.72364E-18	3.56869E-13
2.58697E-05	2.15276E-18	4.18720E-13
2.78623E-05	2.64677E-18	4.85475E-13
2.98549E-05	3.21007E-18	5.57124E-13
3.18475E-05	3.84700E-18	6.33658E-13
3.38401E-05	4.56189E-18	7.15069E-13
3.70379E-05	5.88289E-18	8.55892E-13
4.02358E-05	7.43333E-18	1.00921E-12
4.34336E-05	9.23063E-18	1.17500E-12
4.66315E-05	1.12921E-17	1.35321E-12
4.98293E-05	1.36347E-17	1.54381E-12
5.49372E-05	1.80018E-17	1.87385E-12
6.00451E-05	2.31977E-17	2.23525E-12
6.51530E-05	2.92893E-17	2.62786E-12
7.02609E-05	3.63427E-17	3.05152E-12
7.53688E-05	4.44234E-17	3.50610E-12
8.04767E-05	5.35955E-17	3.99146E-12
8.55846E-05	6.39228E-17	4.50745E-12
9.33713E-05	8.20300E-17	5.35270E-12
1.01158E-04	1.03186E-16	6.26839E-12
1.08945E-04	1.27606E-16	7.25411E-12
1.16731E-04	1.55502E-16	8.30946E-12
1.24518E-04	1.87082E-16	9.43409E-12
1.32305E-04	2.22553E-16	1.06277E-11
1.40091E-04	2.62115E-16	1.18899E-11
1.47878E-04	3.05972E-16	1.32205E-11
1.55665E-04	3.54320E-16	1.46192E-11
1.63451E-04	4.07355E-16	1.60859E-11
1.71238E-04	4.65274E-16	1.76204E-11
1.79024E-04	5.28267E-16	1.92225E-11
1.86811E-04	5.96528E-16	2.08922E-11
1.94598E-04	6.70246E-16	2.26293E-11
2.02384E-04	7.49612E-16	2.44339E-11
2.10171E-04	8.34813E-16	2.63059E-11
2.17958E-04	9.26038E-16	2.82453E-11
2.25745E-04	1.02347E-15	3.02523E-11
2.33531E-04	1.12731E-15	3.23268E-11
2.41318E-04	1.23773E-15	3.44690E-11
2.49104E-04	1.35492E-15	3.66792E-11
2.56891E-04	1.47908E-15	3.89574E-11
2.64678E-04	1.61038E-15	4.13038E-11
2.72464E-04	1.74902E-15	4.37187E-11
2.80251E-04	1.89518E-15	4.62024E-11
2.88038E-04	2.04905E-15	4.87552E-11
2.95824E-04	2.21083E-15	5.13775E-11
3.03611E-04	2.38071E-15	5.40694E-11
3.15308E-04	2.65152E-15	5.82453E-11
3.27005E-04	2.94169E-15	6.25809E-11
3.38702E-04	3.25187E-15	6.70780E-11
3.50399E-04	3.58273E-15	7.17381E-11
3.62096E-04	3.93496E-15	7.65632E-11
3.73793E-04	4.30923E-15	8.15553E-11
3.85491E-04	4.70625E-15	8.67166E-11
3.97188E-04	5.12671E-15	9.20493E-11
4.08885E-04	5.57134E-15	9.75559E-11
4.20582E-04	6.04087E-15	1.03239E-10
4.32279E-04	6.53602E-15	1.09101E-10
4.43976E-04	7.05757E-15	1.15145E-10
4.55673E-04	7.60627E-15	1.21375E-10
4.67370E-04	8.18291E-15	1.27792E-10
4.79067E-04	8.78827E-15	1.34401E-10
4.90764E-04	9.42319E-15	1.41204E-10
5.02461E-04	1.00885E-14	1.48206E-10
5.14158E-04	1.07850E-14	1.55410E-10
5.25855E-04	1.15136E-14	1.62819E-10
5.37552E-04	1.22751E-14	1.70438E-10
5.49249E-04	1.30705E-14	1.78271E-10
5.60947E-04	1.39007E-14	1.86322E-10
5.72644E-04	1.47665E-14	1.94595E-10
5.84341E-04	1.56691E-14	2.03094E-10
5.96038E-04	1.66093E-14	2.11825E-10
6.07735E-04	1.75881E-14	2.20792E-10
6.19432E-04	1.86066E-14	2.30000E-10
6.31129E-04	1.96658E-14	2.39455E-10
6.42826E-04	2.07668E-14	2.49160E-10
6.54523E-04	2.19106E-14	2.59122E-10
6.66220E-04	2.30984E-14	2.69347E-10
6.77917E-04	2.43313E-14	2.79839E-10
6.89614E-04	2.56106E-14	2.90605E-10
7.01311E-04	2.69373E-14	3.01650E-10
7.13008E-04	2.83127E-14	3.12981E-10
7.24706E-04	2.97381E-14	3.24604E-10
7.36403E-04	3.12147E-14	3.36525E-10
7.48100E-04	3.27439E-14	3.48751E-10
7.59797E-04	3.43269E-14	3.61289E-10
7.71494E-04	3.59652E-14	3.74146E-10
7.83191E-04	3.76601E-14	3.87328E-10
7.94888E-04	3.94132E-14	4.00844E-10
8.06585E-04	4.12257E-14	4.14700E-10
8.18282E-04	4.30994E-14	4.28904E-10
8.29979E-04	4.50356E-14	4.43465E-10
8.41676E-04	4.70360E-14	4.58390E-10
8.53373E-04	4.91021E-14	4.73687E-10
8.65070E-04	5.12357E-14	4.89365E-10
8.76767E-04	5.34384E-14	5.05432E-10
8.88465E-04	5.57119E-14	5.21897E-10
