[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.36865E+02	2.66475E-06	6.55456E-10
9.50000E+02	3.36788E+02	6.22380E-05	1.83321E-08
9.99999E+02	3.36662E+02	2.49949E-03	1.18903E-06
1.05000E+03	3.35275E+02	1.63413E-01	1.17637E-03
1.10021E+03	3.06073E+02	4.80651E+00	8.23296E-01
1.20262E+03	1.38678E+02	2.25083E+01	3.07571E+01
1.30527E+03	1.89104E+01	4.93965E+01	5.98721E+01
1.40569E+03	7.01323E-01	9.99250E+01	2.90066E+01
