        time	        Dpar	         Min	         Mid	         Max
5.207612E-04	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.028640E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.536452E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.005202E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.513015E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.020827E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.528640E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.036452E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.505202E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
5.013015E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
5.520827E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
6.028640E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
6.536452E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
7.005202E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
7.513015E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
8.020827E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
8.528639E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
9.009225E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
9.503816E-03	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.000329E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.050052E-02	1.250000E-04	1.000000E+00	1.000000E+00	2.000000E+00
1.100146E-02	1.250000E-04	1.000000E+00	1.000000E+00	3.000000E+00
1.150116E-02	1.250000E-04	1.000000E+00	2.000000E+00	3.000000E+00
1.200115E-02	1.250000E-04	0.000000E+00	3.000000E+00	4.000000E+00
1.250001E-02	1.250000E-04	2.000000E+00	3.000000E+00	4.000000E+00
1.300137E-02	1.250000E-04	3.000000E+00	3.000000E+00	4.000000E+00
1.350016E-02	1.250000E-04	2.000000E+00	3.000000E+00	4.000000E+00
1.400123E-02	1.250000E-04	2.000000E+00	3.000000E+00	4.000000E+00
1.450053E-02	1.250000E-04	1.000000E+00	2.000000E+00	4.000000E+00
1.500113E-02	1.250000E-04	1.000000E+00	2.000000E+00	3.000000E+00
1.550030E-02	1.250000E-04	0.000000E+00	2.000000E+00	4.000000E+00
1.600130E-02	1.250000E-04	1.000000E+00	2.000000E+00	4.000000E+00
1.650029E-02	1.250000E-04	1.000000E+00	2.000000E+00	4.000000E+00
1.700170E-02	1.250000E-04	1.000000E+00	1.000000E+00	3.000000E+00
1.750138E-02	1.250000E-04	1.000000E+00	1.000000E+00	3.000000E+00
1.800053E-02	1.250000E-04	1.000000E+00	1.000000E+00	3.000000E+00
1.850007E-02	1.250000E-04	1.000000E+00	1.000000E+00	2.000000E+00
1.900182E-02	1.250000E-04	1.000000E+00	2.000000E+00	3.000000E+00
1.950090E-02	1.250000E-04	1.000000E+00	1.000000E+00	3.000000E+00
2.000215E-02	1.250000E-04	1.000000E+00	1.000000E+00	2.000000E+00
2.050305E-02	1.250000E-04	1.000000E+00	1.000000E+00	2.000000E+00
2.100275E-02	1.250000E-04	1.000000E+00	1.000000E+00	2.000000E+00
2.150259E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.200445E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.251082E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.301719E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.351876E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.401555E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.450699E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.500562E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.550550E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.600679E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.650889E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.701115E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.751408E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.801763E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.852147E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.902558E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
2.953001E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.003439E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.053858E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.100344E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.150629E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.200816E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.250857E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.300723E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.350386E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.403565E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.452664E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.501356E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.553359E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.601312E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.652667E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.700095E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.750617E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.800182E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.852121E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.902490E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
3.951156E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.001276E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.051088E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.101564E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.152527E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.202360E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
4.250274E-02	1.250000E-04	0.000000E+00	0.000000E+00	0.000000E+00
