1.49020e+0	0.00000e+0	0.00000e+0	0.00000e+0
1.72549e+0	0.00000e+0	0.00000e+0	0.00000e+0
2.00000e+0	0.00000e+0	0.00000e+0	0.00000e+0
2.07843e+0	2.66667e-6	2.66667e-6	2.66667e-6
2.27451e+0	2.66667e-6	2.66667e-6	2.66667e-6
2.47059e+0	5.33333e-6	5.33333e-6	5.33333e-6
2.54902e+0	5.33333e-6	5.33333e-6	5.33333e-6
2.66667e+0	1.86667e-5	2.66667e-5	8.00000e-6
2.74510e+0	3.73333e-5	4.80000e-5	2.66667e-5
2.94118e+0	7.46667e-5	8.80000e-5	5.06667e-5
3.05882e+0	9.33333e-5	1.22667e-4	6.66667e-5
3.13725e+0	1.04000e-4	1.38667e-4	6.40000e-5
3.96078e+0	2.66667e-6	8.00000e-6	0.00000e+0
4.03922e+0	0.00000e+0	0.00000e+0	0.00000e+0
4.11765e+0	0.00000e+0	0.00000e+0	0.00000e+0
