1.01639E+00	1.73201E-03
1.21311E+00	1.68011E-03
1.50820E+00	1.92058E-03
1.80328E+00	6.15838E-03
2.03279E+00	1.34637E-02
2.29508E+00	2.60813E-02
2.65574E+00	4.97456E-02
2.95082E+00	7.29445E-02
3.24590E+00	9.69064E-02
3.50820E+00	1.15749E-01
3.86885E+00	1.32622E-01
4.03279E+00	1.35776E-01
4.42623E+00	1.32437E-01
4.72131E+00	1.23144E-01
4.95082E+00	1.14399E-01
5.11475E+00	1.08012E-01
5.31148E+00	1.00337E-01
5.54098E+00	9.10011E-02
5.73770E+00	8.21131E-02
6.00000E+00	6.83676E-02
6.16393E+00	5.87640E-02
6.39344E+00	4.48049E-02
6.62295E+00	3.16116E-02
6.78689E+00	2.34360E-02
7.08197E+00	1.21488E-02
7.27869E+00	6.84049E-03
7.60656E+00	1.14119E-03
7.96721E+00	1.84038E-03
8.52459E+00	1.71683E-03
9.01639E+00	1.72453E-03
