phi         	LBV         
3.999940E-01	1.335110E+02
4.499900E-01	1.571250E+02
5.000070E-01	1.779970E+02
5.500050E-01	1.961200E+02
6.000060E-01	2.117390E+02
6.500030E-01	2.248640E+02
7.000000E-01	2.357170E+02
7.500080E-01	2.444040E+02
7.999870E-01	2.510920E+02
8.500030E-01	2.559030E+02
9.000070E-01	2.589420E+02
9.499920E-01	2.603180E+02
9.999830E-01	2.601290E+02
1.049980E+00	2.584540E+02
1.100010E+00	2.553680E+02
1.150000E+00	2.509330E+02
1.199990E+00	2.452160E+02
1.250000E+00	2.382850E+02
1.300010E+00	2.302180E+02
1.350000E+00	2.210260E+02
1.399980E+00	2.108560E+02
1.450000E+00	1.998300E+02
1.500000E+00	1.880040E+02
1.550010E+00	1.756340E+02
1.600000E+00	1.629730E+02
