time	Max
5.207561E-04	0.000000E+00
7.593509E-04	0.000000E+00
9.979458E-04	0.000000E+00
1.236541E-03	0.000000E+00
1.475135E-03	0.000000E+00
1.713730E-03	0.000000E+00
1.952325E-03	0.000000E+00
2.190920E-03	0.000000E+00
2.429515E-03	0.000000E+00
2.668110E-03	0.000000E+00
2.906705E-03	0.000000E+00
3.145299E-03	0.000000E+00
3.383894E-03	0.000000E+00
3.622489E-03	0.000000E+00
3.861084E-03	0.000000E+00
4.099679E-03	0.000000E+00
4.338274E-03	0.000000E+00
4.576868E-03	0.000000E+00
4.815463E-03	0.000000E+00
5.054058E-03	0.000000E+00
5.292653E-03	0.000000E+00
5.531248E-03	0.000000E+00
5.769843E-03	0.000000E+00
6.008438E-03	0.000000E+00
6.247032E-03	0.000000E+00
6.485627E-03	0.000000E+00
6.724222E-03	0.000000E+00
6.962817E-03	0.000000E+00
7.201412E-03	0.000000E+00
7.440007E-03	0.000000E+00
7.678601E-03	0.000000E+00
7.917196E-03	0.000000E+00
8.155791E-03	0.000000E+00
8.394386E-03	6.202593E-01
8.632981E-03	1.001249E+00
8.871576E-03	1.407379E+00
9.110170E-03	1.831621E+00
9.348765E-03	2.266736E+00
9.587360E-03	2.705459E+00
9.825955E-03	3.140676E+00
1.006455E-02	3.565582E+00
1.030314E-02	3.973823E+00
1.054174E-02	4.359617E+00
1.078033E-02	4.717856E+00
1.101893E-02	5.044184E+00
1.125752E-02	5.335058E+00
1.149612E-02	5.587782E+00
1.173471E-02	5.800527E+00
1.197331E-02	5.972324E+00
1.221190E-02	6.103047E+00
1.245050E-02	6.193373E+00
1.268909E-02	6.244732E+00
1.292769E-02	6.259246E+00
1.316628E-02	6.239650E+00
1.340488E-02	6.189213E+00
1.364347E-02	6.111646E+00
1.388207E-02	6.011013E+00
1.412066E-02	5.891637E+00
1.435926E-02	5.758001E+00
1.459785E-02	5.614656E+00
1.483645E-02	5.466134E+00
1.507504E-02	5.316861E+00
1.531364E-02	5.171078E+00
1.555223E-02	5.032768E+00
1.579083E-02	4.905596E+00
1.602942E-02	4.792852E+00
1.626802E-02	4.697403E+00
1.650661E-02	4.621663E+00
1.674521E-02	4.567564E+00
1.698380E-02	4.536541E+00
1.722240E-02	4.529524E+00
1.746099E-02	4.546944E+00
1.769958E-02	4.588745E+00
1.793818E-02	4.654403E+00
1.817677E-02	4.742954E+00
1.841537E-02	4.853029E+00
1.865396E-02	4.982896E+00
1.889256E-02	5.130503E+00
1.913115E-02	5.293528E+00
1.936975E-02	5.469433E+00
1.960834E-02	5.655516E+00
1.984694E-02	5.848967E+00
2.008553E-02	6.046920E+00
2.032413E-02	6.246511E+00
2.056272E-02	6.444928E+00
2.080132E-02	6.639459E+00
2.103991E-02	6.827537E+00
2.127851E-02	7.006783E+00
2.151710E-02	7.175040E+00
2.175570E-02	7.330408E+00
2.199429E-02	7.471262E+00
2.223289E-02	7.596281E+00
2.247148E-02	7.704451E+00
2.271008E-02	7.795080E+00
2.294867E-02	7.867794E+00
2.318727E-02	7.922536E+00
2.342586E-02	7.959549E+00
2.366446E-02	7.979366E+00
2.390305E-02	7.982784E+00
2.414165E-02	7.970839E+00
2.438024E-02	7.944780E+00
2.461884E-02	7.906029E+00
2.485743E-02	7.856149E+00
2.509603E-02	7.796807E+00
2.533462E-02	7.729731E+00
2.557321E-02	7.656673E+00
2.581181E-02	7.579370E+00
2.605040E-02	7.499502E+00
2.628900E-02	7.418658E+00
2.652759E-02	7.338302E+00
2.676619E-02	7.259739E+00
2.700478E-02	7.184088E+00
2.724338E-02	7.112259E+00
2.748197E-02	7.044931E+00
2.772057E-02	6.982542E+00
2.795916E-02	6.925276E+00
2.819776E-02	6.873061E+00
2.843635E-02	6.825567E+00
