[K]_0	X-NO_0	X-NH3_0
9.00001E+02	1.44964E-02	4.67972E+02
1.00012E+03	6.21846E-01	4.65782E+02
1.10888E+03	2.53571E+01	3.14646E+02
1.26310E+03	2.14938E+02	1.66039E-07
1.36219E+03	3.14161E+02	7.30769E-10
1.46148E+03	3.65388E+02	5.61985E-10
1.56086E+03	3.93111E+02	3.86327E-09
1.66026E+03	4.10986E+02	1.83218E-08
1.75958E+03	4.32047E+02	6.16826E-08
1.85859E+03	5.03348E+02	1.61555E-07
