[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.17873E+02	1.77903E-05	1.54990E-08
9.50000E+02	3.17797E+02	7.41603E-04	8.53242E-07
1.00344E+03	2.92257E+02	6.97545E+00	1.32790E+00
1.06477E+03	1.72558E+02	4.01049E+01	2.43321E+01
1.11735E+03	1.03646E+02	6.33878E+01	3.82172E+01
1.21891E+03	2.74604E+01	1.33720E+02	4.00536E+01
1.31906E+03	3.79816E+00	2.13991E+02	2.08743E+01
1.41879E+03	1.48004E-01	2.63482E+02	5.01222E+00
