[K]_0	X-NO_0	X-NH3_0
9.00000E+02	4.80917E-05	4.83999E+02
1.00000E+03	6.90685E-03	4.83968E+02
1.10001E+03	1.06601E-01	4.83620E+02
1.20016E+03	7.81747E-01	4.80253E+02
1.30394E+03	2.61144E+00	4.44312E+02
1.43382E+03	1.06911E+01	1.27885E+00
1.53336E+03	2.64090E+01	5.91946E-01
1.63281E+03	5.69625E+01	8.57360E-02
1.73228E+03	8.94040E+01	9.67224E-03
1.83183E+03	1.11597E+02	7.19247E-03
