x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
0.00000E+00	2.48087E-03	0.00000E+00	6.23047E-02	0.00000E+00	2.45150E-03
7.54488E-04	2.50505E-03	5.33036E-04	6.27062E-02	5.22044E-03	2.63440E-03
1.50898E-03	2.52947E-03	1.06607E-03	6.31101E-02	1.04409E-02	2.83111E-03
2.26346E-03	2.55413E-03	1.59911E-03	6.35166E-02	1.56613E-02	3.04271E-03
3.01795E-03	2.57903E-03	2.13214E-03	6.39257E-02	2.08818E-02	3.27032E-03
3.77244E-03	2.60418E-03	2.66518E-03	6.43373E-02	2.61022E-02	3.51518E-03
4.52693E-03	2.62957E-03	3.19821E-03	6.47514E-02	3.13226E-02	3.77861E-03
5.28141E-03	2.65522E-03	3.73125E-03	6.51682E-02	3.65431E-02	4.06206E-03
6.03590E-03	2.68111E-03	4.26429E-03	6.55877E-02	4.17632E-02	4.36705E-03
6.79039E-03	2.70726E-03	4.79732E-03	6.60097E-02	4.69748E-02	4.69471E-03
7.54487E-03	2.73368E-03	5.33036E-03	6.64344E-02	5.21704E-02	5.04619E-03
8.29936E-03	2.76034E-03	5.86339E-03	6.68618E-02	5.73570E-02	5.42371E-03
9.05385E-03	2.78728E-03	6.39643E-03	6.72919E-02	6.25184E-02	5.82788E-03
9.80834E-03	2.81447E-03	6.92946E-03	6.77247E-02	6.76331E-02	6.25858E-03
1.05628E-02	2.84194E-03	7.46250E-03	6.81602E-02	7.27228E-02	6.71932E-03
1.13173E-02	2.86967E-03	7.99554E-03	6.85985E-02	7.77654E-02	7.20985E-03
1.20718E-02	2.89768E-03	8.52857E-03	6.90395E-02	8.27198E-02	7.72732E-03
1.28263E-02	2.92597E-03	9.06161E-03	6.94833E-02	8.76311E-02	8.27768E-03
1.35808E-02	2.95453E-03	9.59464E-03	6.99298E-02	9.24833E-02	8.86069E-03
1.43353E-02	2.98338E-03	1.01277E-02	7.03792E-02	9.72159E-02	9.46974E-03
1.50897E-02	3.01250E-03	1.06607E-02	7.08314E-02	1.01886E-01	1.01128E-02
1.58442E-02	3.04192E-03	1.11938E-02	7.12865E-02	1.06500E-01	1.07910E-02
1.65987E-02	3.07163E-03	1.17268E-02	7.17444E-02	1.10993E-01	1.14929E-02
1.73532E-02	3.10162E-03	1.22598E-02	7.22052E-02	1.15407E-01	1.22251E-02
1.81077E-02	3.13192E-03	1.27929E-02	7.26689E-02	1.19766E-01	1.29921E-02
1.88622E-02	3.16251E-03	1.33259E-02	7.31355E-02	1.24016E-01	1.37843E-02
1.96167E-02	3.19340E-03	1.38589E-02	7.36050E-02	1.28178E-01	1.46048E-02
2.03712E-02	3.22460E-03	1.43920E-02	7.40775E-02	1.32286E-01	1.54609E-02
2.11257E-02	3.25611E-03	1.49250E-02	7.45529E-02	1.36303E-01	1.63448E-02
2.18801E-02	3.28793E-03	1.54580E-02	7.50313E-02	1.40229E-01	1.72554E-02
2.26346E-02	3.32006E-03	1.59911E-02	7.55127E-02	1.44102E-01	1.82017E-02
2.33891E-02	3.35251E-03	1.65241E-02	7.59972E-02	1.47897E-01	1.91774E-02
2.41436E-02	3.38527E-03	1.70571E-02	7.64847E-02	1.51603E-01	2.01786E-02
2.48981E-02	3.41836E-03	1.75902E-02	7.69752E-02	1.55257E-01	2.12153E-02
2.56526E-02	3.45178E-03	1.81232E-02	7.74688E-02	1.58844E-01	2.22828E-02
2.64071E-02	3.48553E-03	1.86562E-02	7.79655E-02	1.62349E-01	2.33755E-02
2.71616E-02	3.51961E-03	1.91893E-02	7.84653E-02	1.65806E-01	2.45040E-02
2.79160E-02	3.55402E-03	1.97223E-02	7.89683E-02	1.69204E-01	2.56645E-02
2.86705E-02	3.58878E-03	2.02554E-02	7.94744E-02	1.72526E-01	2.68504E-02
2.94250E-02	3.62388E-03	2.07884E-02	7.99836E-02	1.75806E-01	2.80727E-02
3.01795E-02	3.65932E-03	2.13214E-02	8.04961E-02	1.79035E-01	2.93284E-02
3.09340E-02	3.69512E-03	2.18545E-02	8.10117E-02	1.82199E-01	3.06109E-02
3.16885E-02	3.73126E-03	2.23875E-02	8.15306E-02	1.85324E-01	3.19310E-02
3.24430E-02	3.76777E-03	2.29205E-02	8.20527E-02	1.88406E-01	3.32862E-02
3.31975E-02	3.80463E-03	2.34536E-02	8.25781E-02	1.91432E-01	3.46706E-02
3.39519E-02	3.84186E-03	2.39866E-02	8.31068E-02	1.94425E-01	3.60944E-02
3.47064E-02	3.87946E-03	2.45196E-02	8.36387E-02	1.97378E-01	3.75544E-02
3.54609E-02	3.91743E-03	2.50527E-02	8.41740E-02	2.00284E-01	3.90463E-02
3.62154E-02	3.95577E-03	2.55857E-02	8.47126E-02	2.03161E-01	4.05793E-02
3.69699E-02	3.99449E-03	2.61188E-02	8.52546E-02	2.06001E-01	4.21490E-02
3.77244E-02	4.03359E-03	2.66518E-02	8.58000E-02	2.08799E-01	4.37520E-02
3.84789E-02	4.07308E-03	2.71848E-02	8.63487E-02	2.11570E-01	4.53930E-02
3.92333E-02	4.11296E-03	2.77179E-02	8.69009E-02	2.14305E-01	4.70608E-02
3.99878E-02	4.15324E-03	2.82509E-02	8.74565E-02	2.17000E-01	4.87543E-02
4.07423E-02	4.19391E-03	2.87839E-02	8.80156E-02	2.19670E-01	5.04833E-02
4.14968E-02	4.23498E-03	2.93170E-02	8.85782E-02	2.22307E-01	5.22417E-02
4.22513E-02	4.27646E-03	2.98500E-02	8.91442E-02	2.24904E-01	5.40244E-02
4.30058E-02	4.31835E-03	3.03830E-02	8.97138E-02	2.27479E-01	5.58431E-02
4.37603E-02	4.36065E-03	3.09161E-02	9.02869E-02	2.30025E-01	5.76920E-02
4.45148E-02	4.40337E-03	3.14491E-02	9.08636E-02	2.32532E-01	5.95626E-02
4.52692E-02	4.44652E-03	3.19821E-02	9.14439E-02	2.35018E-01	6.14692E-02
4.60237E-02	4.49009E-03	3.25152E-02	9.20277E-02	2.37480E-01	6.34077E-02
4.67782E-02	4.53409E-03	3.30482E-02	9.26152E-02	2.39902E-01	6.53651E-02
4.75327E-02	4.57852E-03	3.35813E-02	9.32063E-02	2.42306E-01	6.73581E-02
4.82872E-02	4.62339E-03	3.41143E-02	9.38011E-02	2.44691E-01	6.93858E-02
4.90417E-02	4.66871E-03	3.46473E-02	9.43996E-02	2.47037E-01	7.14304E-02
4.97962E-02	4.71448E-03	3.51804E-02	9.50018E-02	2.49361E-01	7.35066E-02
5.05507E-02	4.76070E-03	3.57134E-02	9.56077E-02	2.51671E-01	7.56200E-02
5.13051E-02	4.80737E-03	3.62464E-02	9.62174E-02	2.53949E-01	7.77536E-02
5.20596E-02	4.85451E-03	3.67795E-02	9.68308E-02	2.56203E-01	7.99141E-02
5.28141E-02	4.90211E-03	3.73133E-02	9.74490E-02	2.58443E-01	8.21117E-02
5.35686E-02	4.95018E-03	3.78489E-02	9.80730E-02	2.60658E-01	8.43339E-02
5.43231E-02	4.99873E-03	3.83854E-02	9.87019E-02	2.62846E-01	8.65776E-02
5.50776E-02	5.04776E-03	3.89220E-02	9.93349E-02	2.65021E-01	8.88583E-02
5.58321E-02	5.09728E-03	3.94585E-02	9.99717E-02	2.67179E-01	9.11692E-02
5.65866E-02	5.14728E-03	3.99950E-02	1.00613E-01	2.69305E-01	9.34958E-02
5.73410E-02	5.19778E-03	4.05316E-02	1.01257E-01	2.71417E-01	9.58552E-02
5.80955E-02	5.24878E-03	4.10681E-02	1.01906E-01	2.73518E-01	9.82512E-02
5.88500E-02	5.30028E-03	4.16047E-02	1.02559E-01	2.75594E-01	1.00667E-01
5.96045E-02	5.35230E-03	4.21412E-02	1.03216E-01	2.77651E-01	1.03109E-01
6.03590E-02	5.40483E-03	4.26777E-02	1.03877E-01	2.79700E-01	1.05591E-01
6.11135E-02	5.45787E-03	4.32143E-02	1.04542E-01	2.81732E-01	1.08100E-01
6.18680E-02	5.51145E-03	4.37508E-02	1.05211E-01	2.83744E-01	1.10632E-01
6.26225E-02	5.56555E-03	4.42874E-02	1.05884E-01	2.85747E-01	1.13202E-01
6.33770E-02	5.62019E-03	4.48239E-02	1.06562E-01	2.87740E-01	1.15809E-01
6.41314E-02	5.67537E-03	4.53627E-02	1.07246E-01	2.89713E-01	1.18436E-01
6.48859E-02	5.73110E-03	4.59064E-02	1.07942E-01	2.91674E-01	1.21097E-01
6.56404E-02	5.78738E-03	4.64528E-02	1.08645E-01	2.93630E-01	1.23800E-01
6.63949E-02	5.84421E-03	4.69995E-02	1.09352E-01	2.95573E-01	1.26532E-01
6.71494E-02	5.90161E-03	4.75462E-02	1.10064E-01	2.97502E-01	1.29295E-01
6.79039E-02	5.95958E-03	4.80929E-02	1.10781E-01	2.99426E-01	1.32100E-01
6.86584E-02	6.01812E-03	4.86396E-02	1.11502E-01	3.01343E-01	1.34943E-01
6.94128E-02	6.07724E-03	4.91862E-02	1.12228E-01	3.03246E-01	1.37815E-01
7.01673E-02	6.13694E-03	4.97329E-02	1.12958E-01	3.05143E-01	1.40728E-01
7.09218E-02	6.19724E-03	5.02796E-02	1.13693E-01	3.07037E-01	1.43687E-01
7.16763E-02	6.25813E-03	5.08263E-02	1.14432E-01	3.08923E-01	1.46686E-01
7.24308E-02	6.31963E-03	5.13730E-02	1.15176E-01	3.10803E-01	1.49725E-01
7.31853E-02	6.38174E-03	5.19202E-02	1.15926E-01	3.12681E-01	1.52812E-01
7.39398E-02	6.44446E-03	5.24718E-02	1.16686E-01	3.14555E-01	1.55946E-01
7.46943E-02	6.50781E-03	5.30307E-02	1.17461E-01	3.16424E-01	1.59113E-01
7.54488E-02	6.57178E-03	5.35930E-02	1.18246E-01	3.18289E-01	1.62310E-01
7.62032E-02	6.63638E-03	5.41553E-02	1.19036E-01	3.20152E-01	1.65548E-01
7.69577E-02	6.70163E-03	5.47176E-02	1.19831E-01	3.22010E-01	1.68821E-01
7.77122E-02	6.76752E-03	5.52799E-02	1.20631E-01	3.23863E-01	1.72131E-01
7.84667E-02	6.83406E-03	5.58422E-02	1.21436E-01	3.25713E-01	1.75484E-01
7.92212E-02	6.90127E-03	5.64045E-02	1.22246E-01	3.27558E-01	1.78871E-01
7.99757E-02	6.96914E-03	5.69668E-02	1.23062E-01	3.29395E-01	1.82290E-01
8.07302E-02	7.03768E-03	5.75291E-02	1.23883E-01	3.31228E-01	1.85748E-01
8.14846E-02	7.10690E-03	5.80914E-02	1.24708E-01	3.33057E-01	1.89243E-01
8.22391E-02	7.17681E-03	5.86575E-02	1.25545E-01	3.34875E-01	1.92764E-01
8.29936E-02	7.24741E-03	5.92315E-02	1.26399E-01	3.36687E-01	1.96319E-01
8.37481E-02	7.31871E-03	5.98099E-02	1.27266E-01	3.38496E-01	1.99912E-01
8.45026E-02	7.39072E-03	6.03885E-02	1.28138E-01	3.40296E-01	2.03534E-01
8.52571E-02	7.46344E-03	6.09671E-02	1.29016E-01	3.42087E-01	2.07183E-01
8.60116E-02	7.53689E-03	6.15457E-02	1.29900E-01	3.43875E-01	2.10871E-01
8.67661E-02	7.61106E-03	6.21244E-02	1.30789E-01	3.45656E-01	2.14591E-01
8.75205E-02	7.68597E-03	6.27030E-02	1.31684E-01	3.47425E-01	2.18331E-01
8.82750E-02	7.76162E-03	6.32816E-02	1.32585E-01	3.49189E-01	2.22105E-01
8.90295E-02	7.83802E-03	6.38603E-02	1.33492E-01	3.50949E-01	2.25914E-01
8.97840E-02	7.91518E-03	6.44417E-02	1.34410E-01	3.52698E-01	2.29746E-01
