[ms]_0	C-NO_0	C-OH_0
0.00000E+00	0.00000E+00	0.00000E+00
2.00000E-08	3.93462E-25	3.77130E-19
5.11473E-08	2.01938E-24	1.92657E-18
9.34418E-08	6.12740E-24	5.81199E-18
1.54773E-07	1.63716E-23	1.53882E-17
3.41255E-07	8.06369E-23	7.35365E-17
5.72278E-07	2.33782E-22	2.06188E-16
1.02907E-06	8.03585E-22	6.65927E-16
1.48586E-06	1.77451E-21	1.38792E-15
2.25460E-06	4.47637E-21	3.19492E-15
3.02334E-06	8.75640E-21	5.74437E-15
3.79208E-06	1.48885E-20	9.03604E-15
4.56082E-06	2.31458E-20	1.30697E-14
5.32956E-06	3.38009E-20	1.78449E-14
6.50683E-06	5.53857E-20	2.65948E-14
7.68410E-06	8.42033E-20	3.70821E-14
8.86137E-06	1.21222E-19	4.93055E-14
1.00386E-05	1.67406E-19	6.32638E-14
1.18764E-05	2.60097E-19	8.85172E-14
1.43983E-05	4.34095E-19	1.30037E-13
1.76043E-05	7.46897E-19	1.94265E-13
2.08103E-05	1.17982E-18	2.71275E-13
2.40163E-05	1.75161E-18	3.61033E-13
2.91772E-05	3.01043E-18	5.32206E-13
3.45285E-05	4.82775E-18	7.44327E-13
3.90243E-05	6.81784E-18	9.49662E-13
4.35201E-05	9.28283E-18	1.17966E-12
4.99822E-05	1.37540E-17	1.55323E-12
5.50694E-05	1.81256E-17	1.88281E-12
6.14891E-05	2.48260E-17	2.34308E-12
6.70373E-05	3.17758E-17	2.78054E-12
7.25855E-05	3.98890E-17	3.25458E-12
8.02429E-05	5.31509E-17	3.96857E-12
8.66305E-05	6.61856E-17	4.61687E-12
9.50238E-05	8.62578E-17	5.54116E-12
1.02464E-04	1.07049E-16	6.42886E-12
1.09904E-04	1.30853E-16	7.38044E-12
1.20966E-04	1.72205E-16	8.91247E-12
1.32027E-04	2.21219E-16	1.05839E-11
1.43088E-04	2.78476E-16	1.23939E-11
1.54149E-04	3.44552E-16	1.43418E-11
1.65211E-04	4.20010E-16	1.64268E-11
1.76272E-04	5.05409E-16	1.86485E-11
1.93033E-04	6.54982E-16	2.22748E-11
2.09793E-04	8.30542E-16	2.62135E-11
2.26554E-04	1.03397E-15	3.04648E-11
