[K]_0	X-CO_0	X-CO2_0
9.00000E+02	1.71000E+02	6.36836E-05
9.50000E+02	1.70997E+02	3.20077E-03
1.00344E+03	1.33339E+02	3.89949E+01
1.06477E+03	2.42269E+01	1.59840E+02
1.11735E+03	7.27703E+00	1.84125E+02
1.21891E+03	1.35238E+00	1.98397E+02
1.31906E+03	2.45578E-01	2.02258E+02
1.41879E+03	3.28750E-02	2.02933E+02
