[K]_0	X-CO_0	X-CO2_0	X-HNCO_0
9.00000E+02	2.68024E-06	1.15482E-07	1.79610E-05
9.50000E+02	6.23868E-05	3.15765E-06	4.20584E-04
9.99999E+02	2.49771E-03	1.46213E-04	1.69017E-02
1.05000E+03	1.66115E-01	1.52141E-02	1.08854E+00
1.10021E+03	5.63008E+00	2.85540E+00	2.17109E+01
1.20262E+03	2.86674E+01	1.13742E+02	5.51041E+01
1.30527E+03	9.14031E+00	2.93744E+02	1.50738E+01
1.40569E+03	6.35235E-01	3.34698E+02	9.87352E-01
