[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.36865E+02	2.66482E-06	6.55474E-10
9.50000E+02	3.36788E+02	6.22395E-05	1.83325E-08
9.99999E+02	3.36662E+02	2.49953E-03	1.18906E-06
1.05000E+03	3.35275E+02	1.63420E-01	1.17648E-03
1.10021E+03	3.06058E+02	4.80979E+00	8.24237E-01
1.20262E+03	1.38503E+02	2.25468E+01	3.08146E+01
1.30527E+03	1.87998E+01	4.95677E+01	5.98771E+01
1.40569E+03	6.92391E-01	1.00330E+02	2.89204E+01
