phi         	LBV         
5.000150E-01	1.035980E+01
5.500150E-01	1.407360E+01
6.000000E-01	1.776120E+01
6.500170E-01	2.127660E+01
7.000030E-01	2.450610E+01
7.500000E-01	2.740750E+01
8.000440E-01	2.992310E+01
8.500090E-01	3.204870E+01
8.999810E-01	3.376330E+01
9.499490E-01	3.507190E+01
1.000030E+00	3.597840E+01
1.050000E+00	3.647720E+01
1.100040E+00	3.658400E+01
1.150030E+00	3.631160E+01
1.200020E+00	3.566690E+01
1.249990E+00	3.466310E+01
1.299960E+00	3.332030E+01
1.349990E+00	3.164890E+01
1.399990E+00	2.967140E+01
1.449990E+00	2.742350E+01
1.500050E+00	2.495270E+01
1.550000E+00	2.232050E+01
1.599990E+00	1.962170E+01
