phi         	LBV         
5.000150E-01	8.144110E+00
5.500150E-01	1.125690E+01
6.000000E-01	1.435420E+01
6.500170E-01	1.731590E+01
7.000030E-01	2.004950E+01
7.500000E-01	2.251090E+01
8.000440E-01	2.464070E+01
8.500090E-01	2.643840E+01
8.999810E-01	2.787880E+01
9.499490E-01	2.896830E+01
1.000030E+00	2.970210E+01
1.050000E+00	3.008180E+01
1.100040E+00	3.011540E+01
1.150030E+00	2.981190E+01
1.200020E+00	2.917960E+01
1.249990E+00	2.823130E+01
1.299960E+00	2.698400E+01
1.349990E+00	2.544900E+01
1.399990E+00	2.365400E+01
1.449990E+00	2.163520E+01
1.500050E+00	1.943250E+01
1.550000E+00	1.713360E+01
1.599990E+00	1.481640E+01
