DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
2.514700E+04 	1.500000E+03 	2.800000E+01 	1.774197E+00 	3.999018E-01 
2.517700E+04 	1.500000E+03 	2.800000E+01 	1.763046E+00 	3.585234E-01 
2.522300E+04 	1.500000E+03 	2.700000E+01 	1.808740E+00 	3.829780E-01 
2.525100E+04 	1.500000E+03 	3.500000E+01 	9.709575E-01 	8.229498E-01 
2.527500E+04 	1.500000E+03 	3.100000E+01 	2.054683E+00 	5.298683E-01 
2.528500E+04 	1.500000E+03 	3.600000E+01 	6.954118E-01 	9.500011E-01 
2.528600E+04 	1.500000E+03 	3.600000E+01 	1.229250E+00 	9.244021E-01 
2.529100E+04 	1.500000E+03 	3.500000E+01 	8.943589E-01 	8.067251E-01 
2.529300E+04 	1.500000E+03 	2.400000E+01 	1.864302E+00 	2.437082E-01 
2.529500E+04 	1.500000E+03 	2.600000E+01 	1.994489E+00 	3.186032E-01 
2.532100E+04 	1.500000E+03 	3.100000E+01 	1.249038E+00 	6.086194E-01 
2.533700E+04 	1.500000E+03 	3.100000E+01 	1.318375E+00 	5.165343E-01 
2.537200E+04 	1.500000E+03 	3.100000E+01 	1.454890E+00 	5.331384E-01 
2.540600E+04 	1.500000E+03 	1.900000E+01 	2.432850E+00 	1.447944E-01 
2.544200E+04 	1.500000E+03 	3.000000E+01 	1.314342E+00 	5.065383E-01 
2.544500E+04 	1.500000E+03 	2.800000E+01 	1.947923E+00 	3.736884E-01 
2.544900E+04 	1.500000E+03 	3.700000E+01 	5.362286E-01 	1.075393E+00 
2.545100E+04 	1.500000E+03 	2.900000E+01 	1.770560E+00 	4.244782E-01 
2.550500E+04 	1.500000E+03 	2.400000E+01 	1.995938E+00 	2.442913E-01 
2.552900E+04 	1.500000E+03 	3.200000E+01 	1.423257E+00 	6.707875E-01 
2.555400E+04 	1.500000E+03 	2.700000E+01 	1.643345E+00 	3.632422E-01 
2.560400E+04 	1.500000E+03 	2.800000E+01 	1.777013E+00 	3.621476E-01 
2.561900E+04 	1.500000E+03 	2.800000E+01 	1.948735E+00 	3.514688E-01 
