time	Mid
5.162428E-04	0.000000E+00
6.644043E-04	0.000000E+00
8.125659E-04	0.000000E+00
9.607274E-04	0.000000E+00
1.108889E-03	0.000000E+00
1.257051E-03	0.000000E+00
1.405212E-03	0.000000E+00
1.553374E-03	0.000000E+00
1.701535E-03	0.000000E+00
1.849697E-03	0.000000E+00
1.997858E-03	0.000000E+00
2.146020E-03	0.000000E+00
2.294181E-03	0.000000E+00
2.442343E-03	0.000000E+00
2.590504E-03	0.000000E+00
2.738666E-03	0.000000E+00
2.886827E-03	0.000000E+00
3.034989E-03	0.000000E+00
3.183151E-03	0.000000E+00
3.331312E-03	0.000000E+00
3.479474E-03	0.000000E+00
3.627635E-03	0.000000E+00
3.775797E-03	0.000000E+00
3.923958E-03	0.000000E+00
4.072120E-03	0.000000E+00
4.220281E-03	0.000000E+00
4.368443E-03	0.000000E+00
4.516604E-03	0.000000E+00
4.664766E-03	0.000000E+00
4.812928E-03	-4.193447E-01
4.961089E-03	-2.395532E-01
5.109251E-03	-1.115336E-02
5.257412E-03	2.623208E-01
5.405574E-03	5.759678E-01
5.553735E-03	9.237322E-01
5.701897E-03	1.298638E+00
5.850058E-03	1.693036E+00
5.998220E-03	2.098850E+00
6.146381E-03	2.507822E+00
6.294543E-03	2.911747E+00
6.442705E-03	3.302693E+00
6.590866E-03	3.673193E+00
6.739028E-03	4.016424E+00
6.887189E-03	4.326349E+00
7.035351E-03	4.597840E+00
7.183512E-03	4.826764E+00
7.331674E-03	5.010045E+00
7.479835E-03	5.145695E+00
7.627997E-03	5.232819E+00
7.776158E-03	5.271591E+00
7.924320E-03	5.263213E+00
8.072482E-03	5.209848E+00
8.220643E-03	5.114533E+00
8.368805E-03	4.981081E+00
8.516966E-03	4.813973E+00
8.665128E-03	4.618229E+00
8.813289E-03	4.399288E+00
8.961451E-03	4.162874E+00
9.109612E-03	3.914865E+00
9.257774E-03	3.661167E+00
9.405935E-03	3.407587E+00
9.554097E-03	3.159720E+00
9.702259E-03	2.922839E+00
9.850420E-03	2.701800E+00
9.998582E-03	2.500955E+00
1.014674E-02	2.324083E+00
1.029490E-02	2.174331E+00
1.044307E-02	2.054173E+00
1.059123E-02	1.965379E+00
1.073939E-02	1.909002E+00
1.088755E-02	1.885381E+00
1.103571E-02	1.894152E+00
1.118387E-02	1.934277E+00
1.133204E-02	2.004082E+00
1.148020E-02	2.101310E+00
1.162836E-02	2.223174E+00
1.177652E-02	2.366432E+00
1.192468E-02	2.527455E+00
1.207284E-02	2.702309E+00
1.222100E-02	2.886836E+00
1.236917E-02	3.076739E+00
1.251733E-02	3.267667E+00
1.266549E-02	3.455295E+00
1.281365E-02	3.635409E+00
1.296181E-02	3.803980E+00
1.310997E-02	3.957237E+00
1.325814E-02	4.091728E+00
1.340630E-02	4.204382E+00
1.355446E-02	4.292557E+00
1.370262E-02	4.354079E+00
1.385078E-02	4.387274E+00
1.399894E-02	4.390991E+00
1.414710E-02	4.364610E+00
1.429527E-02	4.308047E+00
1.444343E-02	4.221747E+00
1.459159E-02	4.106661E+00
1.473975E-02	3.964229E+00
1.488791E-02	3.796336E+00
1.503607E-02	3.605278E+00
1.518424E-02	3.393710E+00
1.533240E-02	3.164594E+00
1.548056E-02	2.921138E+00
1.562872E-02	2.666739E+00
1.577688E-02	2.404911E+00
1.592504E-02	2.139229E+00
1.607320E-02	1.873256E+00
1.622137E-02	1.610483E+00
1.636953E-02	1.354266E+00
1.651769E-02	1.107768E+00
1.666585E-02	8.739048E-01
1.681401E-02	6.552968E-01
1.696217E-02	4.542262E-01
1.711034E-02	2.726025E-01
1.725850E-02	1.119338E-01
1.740666E-02	-2.669247E-02
1.755482E-02	-1.426214E-01
1.770298E-02	-2.356337E-01
1.785114E-02	-3.059398E-01
1.799930E-02	-3.541667E-01
1.814747E-02	-3.813360E-01
1.829563E-02	-3.888342E-01
1.844379E-02	-3.783766E-01
1.859195E-02	-3.519644E-01
1.874011E-02	-3.118366E-01
