phi         	LBV         
5.000150E-01	1.041550E+01
5.500150E-01	1.409730E+01
6.000000E-01	1.772780E+01
6.500170E-01	2.117380E+01
7.000030E-01	2.433740E+01
7.500000E-01	2.717430E+01
8.000440E-01	2.962200E+01
8.500090E-01	3.168180E+01
8.999810E-01	3.332900E+01
9.499490E-01	3.457260E+01
1.000030E+00	3.540950E+01
1.050000E+00	3.583990E+01
1.100040E+00	3.587860E+01
1.150030E+00	3.553310E+01
1.200020E+00	3.481410E+01
1.249990E+00	3.373650E+01
1.299960E+00	3.231830E+01
1.349990E+00	3.057390E+01
1.399990E+00	2.853300E+01
1.449990E+00	2.623070E+01
1.500050E+00	2.371760E+01
1.550000E+00	2.106640E+01
1.599990E+00	1.837530E+01
