phi         	LBV         
6.999840E-01	1.569930E+01
7.499870E-01	1.908610E+01
8.000630E-01	2.222710E+01
8.499870E-01	2.496500E+01
8.999420E-01	2.725630E+01
9.499840E-01	2.899440E+01
1.000050E+00	3.011210E+01
1.049980E+00	3.049020E+01
1.099960E+00	3.008820E+01
1.149990E+00	2.880490E+01
1.199960E+00	2.656290E+01
1.249960E+00	2.341210E+01
1.299990E+00	1.968220E+01
1.350040E+00	1.584800E+01
1.400020E+00	1.230360E+01
