time	Mid
5.207550E-04	0.000000E+00
7.317504E-04	0.000000E+00
9.427458E-04	0.000000E+00
1.153741E-03	0.000000E+00
1.364737E-03	0.000000E+00
1.575732E-03	0.000000E+00
1.786727E-03	0.000000E+00
1.997723E-03	0.000000E+00
2.208718E-03	0.000000E+00
2.419714E-03	0.000000E+00
2.630709E-03	0.000000E+00
2.841704E-03	0.000000E+00
3.052700E-03	0.000000E+00
3.263695E-03	0.000000E+00
3.474691E-03	0.000000E+00
3.685686E-03	0.000000E+00
3.896681E-03	0.000000E+00
4.107677E-03	0.000000E+00
4.318672E-03	0.000000E+00
4.529668E-03	0.000000E+00
4.740663E-03	0.000000E+00
4.951658E-03	0.000000E+00
5.162654E-03	0.000000E+00
5.373649E-03	0.000000E+00
5.584645E-03	0.000000E+00
5.795640E-03	0.000000E+00
6.006635E-03	0.000000E+00
6.217631E-03	0.000000E+00
6.428626E-03	0.000000E+00
6.639622E-03	0.000000E+00
6.850617E-03	0.000000E+00
7.061612E-03	0.000000E+00
7.272608E-03	0.000000E+00
7.483603E-03	-5.468909E-01
7.694599E-03	-4.938870E-01
7.905594E-03	-4.034929E-01
8.116589E-03	-2.751761E-01
8.327585E-03	-1.093048E-01
8.538580E-03	9.290782E-02
8.749576E-03	3.294761E-01
8.960571E-03	5.977272E-01
9.171566E-03	8.943967E-01
9.382562E-03	1.215729E+00
9.593557E-03	1.557585E+00
9.804553E-03	1.915545E+00
1.001555E-02	2.285013E+00
1.022654E-02	2.661320E+00
1.043754E-02	3.039818E+00
1.064853E-02	3.415966E+00
1.085953E-02	3.785412E+00
1.107053E-02	4.144062E+00
1.128152E-02	4.488142E+00
1.149252E-02	4.814250E+00
1.170351E-02	5.119390E+00
1.191451E-02	5.401010E+00
1.212550E-02	5.657015E+00
1.233650E-02	5.885781E+00
1.254749E-02	6.086154E+00
1.275849E-02	6.257441E+00
1.296948E-02	6.399397E+00
1.318048E-02	6.512200E+00
1.339147E-02	6.596425E+00
1.360247E-02	6.653006E+00
1.381347E-02	6.683203E+00
1.402446E-02	6.688558E+00
1.423546E-02	6.670851E+00
1.444645E-02	6.632058E+00
1.465745E-02	6.574302E+00
1.486844E-02	6.499811E+00
1.507944E-02	6.410873E+00
1.529043E-02	6.309792E+00
1.550143E-02	6.198851E+00
1.571242E-02	6.080273E+00
1.592342E-02	5.956187E+00
1.613441E-02	5.828598E+00
1.634541E-02	5.699363E+00
1.655641E-02	5.570167E+00
1.676740E-02	5.442507E+00
1.697840E-02	5.317675E+00
1.718939E-02	5.196755E+00
1.740039E-02	5.080614E+00
1.761138E-02	4.969904E+00
1.782238E-02	4.865062E+00
1.803337E-02	4.766323E+00
1.824437E-02	4.673722E+00
1.845536E-02	4.587117E+00
1.866636E-02	4.506196E+00
1.887735E-02	4.430502E+00
1.908835E-02	4.359447E+00
1.929935E-02	4.292338E+00
1.951034E-02	4.228397E+00
1.972134E-02	4.166784E+00
1.993233E-02	4.106618E+00
2.014333E-02	4.047003E+00
2.035432E-02	3.987047E+00
2.056532E-02	3.925884E+00
2.077631E-02	3.862692E+00
2.098731E-02	3.796711E+00
2.119830E-02	3.727260E+00
2.140930E-02	3.653751E+00
2.162030E-02	3.575697E+00
2.183129E-02	3.492726E+00
2.204229E-02	3.404582E+00
2.225328E-02	3.311133E+00
2.246428E-02	3.212371E+00
2.267527E-02	3.108412E+00
2.288627E-02	2.999490E+00
2.309726E-02	2.885954E+00
2.330826E-02	2.768259E+00
2.351925E-02	2.646955E+00
2.373025E-02	2.522680E+00
2.394124E-02	2.396141E+00
2.415224E-02	2.268103E+00
2.436324E-02	2.139375E+00
2.457423E-02	2.010792E+00
2.478523E-02	1.883201E+00
2.499622E-02	1.757443E+00
2.520722E-02	1.634338E+00
2.541821E-02	1.514672E+00
2.562921E-02	1.399177E+00
2.584020E-02	1.288525E+00
2.605120E-02	1.183310E+00
2.626219E-02	1.084042E+00
2.647319E-02	9.911338E-01
2.668418E-02	9.048999E-01
2.689518E-02	8.255474E-01
2.710618E-02	7.531754E-01
2.731717E-02	6.877742E-01
2.752817E-02	6.292275E-01
2.773916E-02	5.773159E-01
2.795016E-02	5.317235E-01
2.816115E-02	4.920456E-01
2.837215E-02	4.577989E-01
2.858314E-02	4.284326E-01
2.879414E-02	4.033418E-01
2.900513E-02	3.818813E-01
2.921613E-02	3.633808E-01
2.942713E-02	3.471604E-01
2.963812E-02	3.325465E-01
2.984912E-02	3.188876E-01
3.006011E-02	3.055694E-01
3.027111E-02	2.920298E-01
3.048210E-02	2.777721E-01
3.069310E-02	2.623772E-01
