time	Max
5.207550E-04	0.000000E+00
7.317504E-04	0.000000E+00
9.427458E-04	0.000000E+00
1.153741E-03	0.000000E+00
1.364737E-03	0.000000E+00
1.575732E-03	0.000000E+00
1.786727E-03	0.000000E+00
1.997723E-03	0.000000E+00
2.208718E-03	0.000000E+00
2.419714E-03	0.000000E+00
2.630709E-03	0.000000E+00
2.841704E-03	0.000000E+00
3.052700E-03	0.000000E+00
3.263695E-03	0.000000E+00
3.474691E-03	0.000000E+00
3.685686E-03	0.000000E+00
3.896681E-03	0.000000E+00
4.107677E-03	0.000000E+00
4.318672E-03	0.000000E+00
4.529668E-03	0.000000E+00
4.740663E-03	0.000000E+00
4.951658E-03	0.000000E+00
5.162654E-03	0.000000E+00
5.373649E-03	0.000000E+00
5.584645E-03	0.000000E+00
5.795640E-03	0.000000E+00
6.006635E-03	0.000000E+00
6.217631E-03	0.000000E+00
6.428626E-03	0.000000E+00
6.639622E-03	0.000000E+00
6.850617E-03	0.000000E+00
7.061612E-03	0.000000E+00
7.272608E-03	0.000000E+00
7.483603E-03	-6.372449E-01
7.694599E-03	-4.679796E-01
7.905594E-03	-2.477950E-01
8.116589E-03	2.052511E-02
8.327585E-03	3.330741E-01
8.538580E-03	6.850028E-01
8.749576E-03	1.070710E+00
8.960571E-03	1.484040E+00
9.171566E-03	1.918473E+00
9.382562E-03	2.367312E+00
9.593557E-03	2.823862E+00
9.804553E-03	3.281588E+00
1.001555E-02	3.734260E+00
1.022654E-02	4.176078E+00
1.043754E-02	4.601775E+00
1.064853E-02	5.006705E+00
1.085953E-02	5.386900E+00
1.107053E-02	5.739112E+00
1.128152E-02	6.060838E+00
1.149252E-02	6.350317E+00
1.170351E-02	6.606521E+00
1.191451E-02	6.829119E+00
1.212550E-02	7.018436E+00
1.233650E-02	7.175397E+00
1.254749E-02	7.301462E+00
1.275849E-02	7.398553E+00
1.296948E-02	7.468979E+00
1.318048E-02	7.515353E+00
1.339147E-02	7.540513E+00
1.360247E-02	7.547440E+00
1.381347E-02	7.539181E+00
1.402446E-02	7.518774E+00
1.423546E-02	7.489181E+00
1.444645E-02	7.453226E+00
1.465745E-02	7.413536E+00
1.486844E-02	7.372499E+00
1.507944E-02	7.332224E+00
1.529043E-02	7.294511E+00
1.550143E-02	7.260831E+00
1.571242E-02	7.232311E+00
1.592342E-02	7.209736E+00
1.613441E-02	7.193551E+00
1.634541E-02	7.183870E+00
1.655641E-02	7.180501E+00
1.676740E-02	7.182966E+00
1.697840E-02	7.190534E+00
1.718939E-02	7.202255E+00
1.740039E-02	7.216998E+00
1.761138E-02	7.233490E+00
1.782238E-02	7.250357E+00
1.803337E-02	7.266170E+00
1.824437E-02	7.279482E+00
1.845536E-02	7.288870E+00
1.866636E-02	7.292971E+00
1.887735E-02	7.290520E+00
1.908835E-02	7.280378E+00
1.929935E-02	7.261562E+00
1.951034E-02	7.233264E+00
1.972134E-02	7.194870E+00
1.993233E-02	7.145973E+00
2.014333E-02	7.086380E+00
2.035432E-02	7.016111E+00
2.056532E-02	6.935399E+00
2.077631E-02	6.844678E+00
2.098731E-02	6.744571E+00
2.119830E-02	6.635874E+00
2.140930E-02	6.519530E+00
2.162030E-02	6.396610E+00
2.183129E-02	6.268278E+00
2.204229E-02	6.135768E+00
2.225328E-02	6.000350E+00
2.246428E-02	5.863298E+00
2.267527E-02	5.725858E+00
2.288627E-02	5.589220E+00
2.309726E-02	5.454484E+00
2.330826E-02	5.322637E+00
2.351925E-02	5.194525E+00
2.373025E-02	5.070835E+00
2.394124E-02	4.952075E+00
2.415224E-02	4.838561E+00
2.436324E-02	4.730412E+00
2.457423E-02	4.627543E+00
2.478523E-02	4.529665E+00
2.499622E-02	4.436296E+00
2.520722E-02	4.346769E+00
2.541821E-02	4.260249E+00
2.562921E-02	4.175754E+00
2.584020E-02	4.092180E+00
2.605120E-02	4.008327E+00
2.626219E-02	3.922936E+00
2.647319E-02	3.834717E+00
2.668418E-02	3.742390E+00
2.689518E-02	3.644718E+00
2.710618E-02	3.540549E+00
2.731717E-02	3.428844E+00
2.752817E-02	3.308723E+00
2.773916E-02	3.179486E+00
2.795016E-02	3.040652E+00
2.816115E-02	2.891977E+00
2.837215E-02	2.733477E+00
2.858314E-02	2.565444E+00
2.879414E-02	2.388450E+00
2.900513E-02	2.203354E+00
2.921613E-02	2.011293E+00
2.942713E-02	1.813674E+00
2.963812E-02	1.612148E+00
2.984912E-02	1.408588E+00
3.006011E-02	1.205055E+00
3.027111E-02	1.003755E+00
3.048210E-02	8.069968E-01
3.069310E-02	6.171364E-01
