[K]_0	X-CO_0	X-CO2_0	X-HNCO_0
9.00000E+02	1.37391E-06	5.96436E-08	8.71833E-06
9.50000E+02	7.13604E-05	3.60899E-06	4.51392E-04
1.00000E+03	1.87011E-02	1.16899E-03	1.19581E-01
1.05015E+03	2.47316E+00	1.03492E+00	1.67874E+01
1.10102E+03	1.43623E+01	2.19530E+01	6.95859E+01
1.20403E+03	1.84887E+01	1.78062E+02	8.77015E+01
1.30548E+03	4.44211E+00	2.87821E+02	3.94844E+01
1.40583E+03	7.48343E-01	3.28460E+02	7.61631E+00
