[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.36865E+02	1.41972E-06	4.70538E-10
9.50000E+02	3.36787E+02	7.28079E-05	3.03705E-08
1.00000E+03	3.36428E+02	1.85726E-02	2.04260E-05
1.05015E+03	3.13018E+02	1.81401E+00	2.01997E-01
1.10102E+03	2.27184E+02	5.41174E+00	4.20358E+00
1.20403E+03	5.06739E+01	8.72047E+00	2.49066E+01
1.30548E+03	4.70872E+00	1.58054E+01	3.52694E+01
1.40583E+03	1.00867E-01	3.89070E+01	2.05190E+01
