x[cm]_0	X-CH_0	x[cm]_1	X-CH_1	x[cm]_2	X-CH_2
1.24759E-01	5.82757E-09	8.16333E-02	1.41901E-06	3.01295E-01	7.60028E-07
1.25741E-01	6.14039E-09	8.21726E-02	1.46040E-06	3.02259E-01	7.89189E-07
1.26723E-01	6.46897E-09	8.27120E-02	1.50284E-06	3.03215E-01	8.19109E-07
1.27704E-01	6.81405E-09	8.32514E-02	1.54636E-06	3.04171E-01	8.50043E-07
1.28670E-01	7.17038E-09	8.37907E-02	1.59099E-06	3.05128E-01	8.82020E-07
1.29602E-01	7.53075E-09	8.43281E-02	1.63656E-06	3.06084E-01	9.15070E-07
1.30514E-01	7.89977E-09	8.48593E-02	1.68274E-06	3.07039E-01	9.49169E-07
1.31423E-01	8.28487E-09	8.53849E-02	1.72955E-06	3.07986E-01	9.84084E-07
1.32332E-01	8.68760E-09	8.59086E-02	1.77734E-06	3.08920E-01	1.01966E-06
1.33242E-01	9.10875E-09	8.64323E-02	1.82628E-06	3.09849E-01	1.05615E-06
1.34151E-01	9.54909E-09	8.69560E-02	1.87641E-06	3.10778E-01	1.09378E-06
1.35061E-01	1.00095E-08	8.74798E-02	1.92775E-06	3.11707E-01	1.13259E-06
1.35970E-01	1.04907E-08	8.80035E-02	1.98033E-06	3.12636E-01	1.17259E-06
1.36880E-01	1.09937E-08	8.85272E-02	2.03418E-06	3.13564E-01	1.21375E-06
1.37789E-01	1.15195E-08	8.90480E-02	2.08900E-06	3.14484E-01	1.25579E-06
1.38699E-01	1.20689E-08	8.95623E-02	2.14443E-06	3.15394E-01	1.29856E-06
1.39608E-01	1.26429E-08	9.00728E-02	2.20072E-06	3.16300E-01	1.34226E-06
1.40518E-01	1.32427E-08	9.05827E-02	2.25827E-06	3.17205E-01	1.38709E-06
1.41427E-01	1.38693E-08	9.10927E-02	2.31714E-06	3.18111E-01	1.43311E-06
1.42337E-01	1.45239E-08	9.16026E-02	2.37737E-06	3.19016E-01	1.48034E-06
1.43233E-01	1.51970E-08	9.21126E-02	2.43899E-06	3.19921E-01	1.52878E-06
1.44101E-01	1.58773E-08	9.26225E-02	2.50203E-06	3.20820E-01	1.57817E-06
1.44954E-01	1.65739E-08	9.31321E-02	2.56645E-06	3.21709E-01	1.62832E-06
1.45806E-01	1.72989E-08	9.36384E-02	2.63192E-06	3.22594E-01	1.67951E-06
1.46659E-01	1.80538E-08	9.41393E-02	2.69815E-06	3.23479E-01	1.73200E-06
1.47512E-01	1.88398E-08	9.46378E-02	2.76553E-06	3.24364E-01	1.78582E-06
1.48364E-01	1.96581E-08	9.51363E-02	2.83439E-06	3.25249E-01	1.84101E-06
1.49217E-01	2.05100E-08	9.56348E-02	2.90476E-06	3.26134E-01	1.89757E-06
1.50069E-01	2.13967E-08	9.61333E-02	2.97669E-06	3.27014E-01	1.95522E-06
1.50922E-01	2.23196E-08	9.66318E-02	3.05018E-06	3.27885E-01	2.01367E-06
1.51775E-01	2.32801E-08	9.71303E-02	3.12527E-06	3.28752E-01	2.07320E-06
1.52627E-01	2.42796E-08	9.76281E-02	3.20186E-06	3.29618E-01	2.13415E-06
1.53480E-01	2.53197E-08	9.81228E-02	3.27963E-06	3.30484E-01	2.19654E-06
1.54332E-01	2.64019E-08	9.86139E-02	3.35846E-06	3.31351E-01	2.26040E-06
1.55185E-01	2.75278E-08	9.91037E-02	3.43872E-06	3.32217E-01	2.32574E-06
1.56026E-01	2.86835E-08	9.95934E-02	3.52064E-06	3.33080E-01	2.39234E-06
1.56845E-01	2.98522E-08	1.00083E-01	3.60425E-06	3.33936E-01	2.45986E-06
1.57652E-01	3.10477E-08	1.00573E-01	3.68957E-06	3.34786E-01	2.52849E-06
1.58458E-01	3.22878E-08	1.01063E-01	3.77662E-06	3.35636E-01	2.59858E-06
1.59265E-01	3.35746E-08	1.01552E-01	3.86542E-06	3.36486E-01	2.67020E-06
1.60071E-01	3.49100E-08	1.02041E-01	3.95582E-06	3.37335E-01	2.74340E-06
1.60877E-01	3.62956E-08	1.02528E-01	4.04754E-06	3.38185E-01	2.81819E-06
1.61684E-01	3.77333E-08	1.03012E-01	4.14054E-06	3.39033E-01	2.89442E-06
1.62490E-01	3.92249E-08	1.03495E-01	4.23513E-06	3.39874E-01	2.97175E-06
1.63296E-01	4.07724E-08	1.03978E-01	4.33148E-06	3.40711E-01	3.05020E-06
1.64102E-01	4.23776E-08	1.04461E-01	4.42961E-06	3.41546E-01	3.13011E-06
1.64909E-01	4.40427E-08	1.04944E-01	4.52954E-06	3.42380E-01	3.21168E-06
