[ms]_0	C-NO_0	C-OH_0
1.00031E-03	8.13902E-14	7.01303E-10
1.01352E-03	8.49413E-14	7.25359E-10
1.02674E-03	8.86126E-14	7.50076E-10
1.03995E-03	9.24076E-14	7.75471E-10
1.05316E-03	9.63296E-14	8.01561E-10
1.06637E-03	1.00382E-13	8.28365E-10
1.07958E-03	1.04569E-13	8.55899E-10
1.09279E-03	1.08894E-13	8.84183E-10
1.10600E-03	1.13360E-13	9.13237E-10
1.11921E-03	1.17973E-13	9.43080E-10
1.13243E-03	1.22735E-13	9.73731E-10
1.14564E-03	1.27651E-13	1.00521E-09
1.15885E-03	1.32725E-13	1.03755E-09
1.17206E-03	1.37961E-13	1.07075E-09
1.18527E-03	1.43365E-13	1.10485E-09
1.19848E-03	1.48939E-13	1.13987E-09
1.21169E-03	1.54691E-13	1.17583E-09
1.22490E-03	1.60623E-13	1.21276E-09
1.23811E-03	1.66741E-13	1.25067E-09
1.25133E-03	1.73051E-13	1.28960E-09
1.26454E-03	1.79557E-13	1.32957E-09
1.27775E-03	1.86265E-13	1.37061E-09
1.29096E-03	1.93180E-13	1.41274E-09
1.30417E-03	2.00308E-13	1.45599E-09
1.31738E-03	2.07655E-13	1.50039E-09
1.33059E-03	2.15228E-13	1.54597E-09
1.34380E-03	2.23031E-13	1.59275E-09
1.35702E-03	2.31071E-13	1.64078E-09
1.37023E-03	2.39355E-13	1.69007E-09
1.38344E-03	2.47890E-13	1.74066E-09
1.39665E-03	2.56682E-13	1.79259E-09
1.40986E-03	2.65739E-13	1.84588E-09
1.42307E-03	2.75067E-13	1.90057E-09
1.43628E-03	2.84673E-13	1.95670E-09
1.44949E-03	2.94567E-13	2.01429E-09
1.46270E-03	3.04755E-13	2.07339E-09
1.47592E-03	3.15245E-13	2.13404E-09
1.48913E-03	3.26046E-13	2.19626E-09
1.50234E-03	3.37165E-13	2.26010E-09
1.51555E-03	3.48613E-13	2.32560E-09
1.52876E-03	3.60397E-13	2.39279E-09
1.54197E-03	3.72527E-13	2.46173E-09
1.55518E-03	3.85012E-13	2.53244E-09
1.56839E-03	3.97862E-13	2.60499E-09
1.58161E-03	4.11086E-13	2.67939E-09
1.59482E-03	4.24695E-13	2.75571E-09
1.60803E-03	4.38700E-13	2.83399E-09
1.62124E-03	4.53110E-13	2.91426E-09
1.63445E-03	4.67938E-13	2.99659E-09
1.64766E-03	4.83193E-13	3.08102E-09
1.66087E-03	4.98889E-13	3.16760E-09
1.67408E-03	5.15036E-13	3.25637E-09
1.68729E-03	5.31647E-13	3.34739E-09
1.70051E-03	5.48734E-13	3.44072E-09
1.71372E-03	5.66311E-13	3.53639E-09
1.72693E-03	5.84390E-13	3.63448E-09
1.74014E-03	6.02985E-13	3.73502E-09
1.75335E-03	6.22110E-13	3.83809E-09
1.76656E-03	6.41779E-13	3.94372E-09
1.77977E-03	6.62007E-13	4.05199E-09
1.79298E-03	6.82809E-13	4.16296E-09
1.80620E-03	7.04201E-13	4.27667E-09
1.81941E-03	7.26197E-13	4.39319E-09
1.83262E-03	7.48815E-13	4.51259E-09
1.84583E-03	7.72071E-13	4.63492E-09
1.85904E-03	7.95983E-13	4.76025E-09
1.87225E-03	8.20567E-13	4.88865E-09
1.88546E-03	8.45842E-13	5.02017E-09
1.89867E-03	8.71826E-13	5.15488E-09
1.91189E-03	8.98539E-13	5.29286E-09
1.92510E-03	9.25999E-13	5.43417E-09
1.93831E-03	9.54227E-13	5.57887E-09
1.95152E-03	9.83244E-13	5.72705E-09
1.96473E-03	1.01307E-12	5.87876E-09
1.97794E-03	1.04373E-12	6.03408E-09
1.99115E-03	1.07524E-12	6.19309E-09
2.00436E-03	1.10762E-12	6.35584E-09
2.01758E-03	1.14091E-12	6.52243E-09
2.03079E-03	1.17511E-12	6.69292E-09
2.04400E-03	1.21027E-12	6.86738E-09
2.05721E-03	1.24639E-12	7.04590E-09
2.07042E-03	1.28352E-12	7.22854E-09
2.08363E-03	1.32167E-12	7.41539E-09
2.09684E-03	1.36087E-12	7.60652E-09
2.11005E-03	1.40115E-12	7.80201E-09
2.12326E-03	1.44254E-12	8.00193E-09
2.13648E-03	1.48507E-12	8.20637E-09
2.14969E-03	1.52876E-12	8.41539E-09
2.16290E-03	1.57365E-12	8.62909E-09
2.17611E-03	1.61977E-12	8.84753E-09
2.18932E-03	1.66715E-12	9.07079E-09
2.20253E-03	1.71582E-12	9.29896E-09
2.21574E-03	1.76582E-12	9.53211E-09
2.22895E-03	1.81719E-12	9.77031E-09
2.24216E-03	1.86995E-12	1.00137E-08
2.25538E-03	1.92414E-12	1.02622E-08
2.26859E-03	1.97981E-12	1.05160E-08
2.28180E-03	2.03698E-12	1.07752E-08
2.29501E-03	2.09571E-12	1.10399E-08
2.30822E-03	2.15602E-12	1.13100E-08
2.32143E-03	2.21796E-12	1.15857E-08
2.33464E-03	2.28157E-12	1.18671E-08
2.34785E-03	2.34689E-12	1.21542E-08
2.36107E-03	2.41397E-12	1.24470E-08
2.37428E-03	2.48285E-12	1.27458E-08
2.38749E-03	2.55357E-12	1.30504E-08
2.40070E-03	2.62619E-12	1.33610E-08
2.41391E-03	2.70075E-12	1.36777E-08
2.42712E-03	2.77730E-12	1.40004E-08
2.44033E-03	2.85589E-12	1.43293E-08
2.45354E-03	2.93657E-12	1.46644E-08
2.46676E-03	3.01940E-12	1.50058E-08
2.47997E-03	3.10441E-12	1.53535E-08
2.49318E-03	3.19168E-12	1.57075E-08
2.50639E-03	3.28125E-12	1.60679E-08
2.51960E-03	3.37319E-12	1.64347E-08
2.53281E-03	3.46754E-12	1.68079E-08
2.54602E-03	3.56437E-12	1.71876E-08
2.55923E-03	3.66373E-12	1.75739E-08
2.57244E-03	3.76570E-12	1.79666E-08
2.58566E-03	3.87032E-12	1.83659E-08
2.59887E-03	3.97767E-12	1.87718E-08
2.61208E-03	4.08780E-12	1.91842E-08
2.62529E-03	4.20079E-12	1.96031E-08
2.63850E-03	4.31670E-12	2.00286E-08
2.65171E-03	4.43560E-12	2.04606E-08
2.66492E-03	4.55756E-12	2.08991E-08
2.67813E-03	4.68264E-12	2.13441E-08
2.69134E-03	4.81092E-12	2.17956E-08
2.70456E-03	4.94248E-12	2.22534E-08
2.71777E-03	5.07738E-12	2.27177E-08
2.73098E-03	5.21569E-12	2.31882E-08
2.74419E-03	5.35751E-12	2.36651E-08
2.75740E-03	5.50290E-12	2.41481E-08
2.77061E-03	5.65194E-12	2.46373E-08
2.78382E-03	5.80471E-12	2.51325E-08
2.79703E-03	5.96129E-12	2.56336E-08
2.81025E-03	6.12176E-12	2.61406E-08
2.82346E-03	6.28620E-12	2.66534E-08
2.83667E-03	6.45470E-12	2.71718E-08
2.84988E-03	6.62734E-12	2.76957E-08
2.86309E-03	6.80420E-12	2.82250E-08
2.87630E-03	6.98538E-12	2.87595E-08
2.88951E-03	7.17095E-12	2.92992E-08
2.90272E-03	7.36100E-12	2.98438E-08
2.91594E-03	7.55563E-12	3.03932E-08
2.92915E-03	7.75492E-12	3.09472E-08
2.94236E-03	7.95895E-12	3.15057E-08
2.95557E-03	8.16783E-12	3.20684E-08
2.96878E-03	8.38163E-12	3.26351E-08
2.98199E-03	8.60045E-12	3.32057E-08
2.99520E-03	8.82438E-12	3.37800E-08
3.00841E-03	9.05351E-12	3.43576E-08
3.02163E-03	9.28793E-12	3.49385E-08
3.03484E-03	9.52773E-12	3.55223E-08
3.04805E-03	9.77301E-12	3.61089E-08
3.06126E-03	1.00239E-11	3.66979E-08
3.07447E-03	1.02804E-11	3.72891E-08
3.08768E-03	1.05426E-11	3.78823E-08
3.10089E-03	1.08107E-11	3.84772E-08
3.11410E-03	1.10847E-11	3.90735E-08
3.12731E-03	1.13648E-11	3.96710E-08
3.14052E-03	1.16509E-11	4.02694E-08
3.15374E-03	1.19433E-11	4.08683E-08
3.16695E-03	1.22419E-11	4.14675E-08
3.18016E-03	1.25469E-11	4.20668E-08
3.19337E-03	1.28584E-11	4.26658E-08
3.20658E-03	1.31764E-11	4.32642E-08
3.21979E-03	1.35011E-11	4.38617E-08
3.23300E-03	1.38325E-11	4.44580E-08
3.24622E-03	1.41707E-11	4.50529E-08
3.25943E-03	1.45157E-11	4.56460E-08
3.27264E-03	1.48677E-11	4.62371E-08
3.28585E-03	1.52268E-11	4.68258E-08
3.29906E-03	1.55930E-11	4.74119E-08
3.31227E-03	1.59663E-11	4.79950E-08
3.32548E-03	1.63470E-11	4.85748E-08
3.33869E-03	1.67349E-11	4.91512E-08
3.35190E-03	1.71303E-11	4.97238E-08
3.36512E-03	1.75331E-11	5.02922E-08
3.37833E-03	1.79435E-11	5.08564E-08
3.39154E-03	1.83615E-11	5.14159E-08
3.40475E-03	1.87871E-11	5.19706E-08
3.41796E-03	1.92205E-11	5.25201E-08
3.43117E-03	1.96616E-11	5.30643E-08
3.44438E-03	2.01106E-11	5.36029E-08
3.45759E-03	2.05674E-11	5.41356E-08
3.47080E-03	2.10322E-11	5.46623E-08
3.48402E-03	2.15050E-11	5.51827E-08
3.49723E-03	2.19857E-11	5.56966E-08
3.51044E-03	2.24746E-11	5.62039E-08
3.52365E-03	2.29715E-11	5.67043E-08
3.53686E-03	2.34766E-11	5.71977E-08
3.55007E-03	2.39898E-11	5.76839E-08
3.56328E-03	2.45112E-11	5.81627E-08
3.57649E-03	2.50408E-11	5.86341E-08
3.58971E-03	2.55787E-11	5.90978E-08
3.60292E-03	2.61249E-11	5.95538E-08
3.61613E-03	2.66793E-11	6.00019E-08
3.62934E-03	2.72420E-11	6.04421E-08
3.64255E-03	2.78130E-11	6.08742E-08
3.65576E-03	2.83924E-11	6.12982E-08
3.66897E-03	2.89800E-11	6.17140E-08
3.68218E-03	2.95760E-11	6.21216E-08
3.69540E-03	3.01803E-11	6.25208E-08
3.70861E-03	3.07930E-11	6.29117E-08
3.72182E-03	3.14139E-11	6.32943E-08
3.73503E-03	3.20432E-11	6.36684E-08
3.74824E-03	3.26807E-11	6.40342E-08
3.76145E-03	3.33266E-11	6.43916E-08
3.77466E-03	3.39807E-11	6.47406E-08
3.78787E-03	3.46430E-11	6.50812E-08
3.80108E-03	3.53136E-11	6.54136E-08
3.81430E-03	3.59924E-11	6.57376E-08
3.82751E-03	3.66793E-11	6.60534E-08
3.84072E-03	3.73744E-11	6.63610E-08
3.85393E-03	3.80776E-11	6.66605E-08
3.86714E-03	3.87889E-11	6.69519E-08
3.88035E-03	3.95082E-11	6.72354E-08
3.89356E-03	4.02355E-11	6.75109E-08
3.90677E-03	4.09708E-11	6.77786E-08
3.91998E-03	4.17139E-11	6.80387E-08
3.93320E-03	4.24650E-11	6.82910E-08
3.94641E-03	4.32238E-11	6.85359E-08
3.95962E-03	4.39905E-11	6.87734E-08
3.97283E-03	4.47648E-11	6.90035E-08
3.98604E-03	4.55469E-11	6.92265E-08
3.99925E-03	4.63365E-11	6.94424E-08
4.01246E-03	4.71337E-11	6.96514E-08
4.02568E-03	4.79384E-11	6.98536E-08
4.03889E-03	4.87505E-11	7.00491E-08
4.05210E-03	4.95700E-11	7.02380E-08
4.06531E-03	5.03968E-11	7.04205E-08
4.07852E-03	5.12309E-11	7.05967E-08
4.09173E-03	5.20721E-11	7.07668E-08
4.10494E-03	5.29205E-11	7.09308E-08
4.11815E-03	5.37759E-11	7.10890E-08
4.13136E-03	5.46383E-11	7.12414E-08
4.14458E-03	5.55076E-11	7.13883E-08
4.15779E-03	5.63838E-11	7.15296E-08
4.17100E-03	5.72668E-11	7.16657E-08
4.18421E-03	5.81564E-11	7.17965E-08
4.19742E-03	5.90527E-11	7.19223E-08
4.21063E-03	5.99555E-11	7.20432E-08
4.22384E-03	6.08649E-11	7.21593E-08
4.23705E-03	6.17806E-11	7.22708E-08
4.25026E-03	6.27027E-11	7.23777E-08
4.26348E-03	6.36310E-11	7.24803E-08
4.27669E-03	6.45656E-11	7.25786E-08
4.28990E-03	6.55062E-11	7.26728E-08
4.30311E-03	6.64529E-11	7.27630E-08
4.31632E-03	6.74055E-11	7.28493E-08
4.32953E-03	6.83641E-11	7.29318E-08
4.34274E-03	6.93284E-11	7.30107E-08
4.35595E-03	7.02985E-11	7.30862E-08
4.36917E-03	7.12742E-11	7.31582E-08
4.38238E-03	7.22555E-11	7.32269E-08
4.39559E-03	7.32424E-11	7.32925E-08
4.40880E-03	7.42346E-11	7.33550E-08
4.42201E-03	7.52323E-11	7.34145E-08
4.43522E-03	7.62352E-11	7.34713E-08
4.44843E-03	7.72433E-11	7.35252E-08
4.46164E-03	7.82565E-11	7.35765E-08
4.47485E-03	7.92748E-11	7.36253E-08
4.48807E-03	8.02981E-11	7.36716E-08
4.50128E-03	8.13263E-11	7.37155E-08
4.51449E-03	8.23593E-11	7.37572E-08
4.52770E-03	8.33971E-11	7.37966E-08
