[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.17873E+02	1.77853E-05	1.54767E-08
9.50000E+02	3.17796E+02	7.43679E-04	8.31762E-07
1.00386E+03	2.86106E+02	5.03567E+00	1.02076E+00
1.06492E+03	1.54570E+02	1.47227E+01	1.92837E+01
1.11763E+03	8.20151E+01	1.86527E+01	3.36529E+01
1.21923E+03	1.66055E+01	5.68255E+01	4.30442E+01
1.31927E+03	1.66349E+00	1.38704E+02	2.64877E+01
1.41892E+03	3.90248E-02	2.07670E+02	7.36881E+00
