x[cm]_2	X-NO_2
3.785590E-01	2.695770E-01
3.793440E-01	2.714950E-01
3.801290E-01	2.734230E-01
3.809130E-01	2.753590E-01
3.816970E-01	2.773030E-01
3.824810E-01	2.792570E-01
3.832650E-01	2.812220E-01
3.840490E-01	2.831960E-01
3.848330E-01	2.851800E-01
3.856160E-01	2.871740E-01
3.864000E-01	2.891780E-01
3.871830E-01	2.911910E-01
3.879660E-01	2.932150E-01
3.887500E-01	2.952480E-01
3.895330E-01	2.972920E-01
3.903160E-01	2.993460E-01
3.910990E-01	3.014110E-01
3.918830E-01	3.034850E-01
3.926660E-01	3.055710E-01
3.934490E-01	3.076660E-01
3.942320E-01	3.097720E-01
3.950160E-01	3.118890E-01
3.957990E-01	3.140160E-01
3.965820E-01	3.161540E-01
3.973660E-01	3.183020E-01
3.981490E-01	3.204610E-01
3.989330E-01	3.226320E-01
3.997160E-01	3.248130E-01
4.004990E-01	3.270040E-01
4.012830E-01	3.292070E-01
4.020670E-01	3.314200E-01
4.028500E-01	3.336460E-01
4.036340E-01	3.358820E-01
4.044180E-01	3.381300E-01
4.052020E-01	3.403890E-01
4.059870E-01	3.426590E-01
4.067710E-01	3.449400E-01
4.075550E-01	3.472330E-01
4.083400E-01	3.495390E-01
4.091260E-01	3.518580E-01
4.099120E-01	3.541900E-01
4.106970E-01	3.565320E-01
4.114830E-01	3.588870E-01
4.122690E-01	3.612520E-01
4.130560E-01	3.636300E-01
4.138430E-01	3.660230E-01
4.146320E-01	3.684330E-01
4.154210E-01	3.708560E-01
4.162110E-01	3.732910E-01
4.170010E-01	3.757370E-01
4.177900E-01	3.781960E-01
4.185800E-01	3.806670E-01
4.193720E-01	3.831570E-01
4.201670E-01	3.856670E-01
4.209620E-01	3.881920E-01
4.217580E-01	3.907290E-01
4.225530E-01	3.932770E-01
4.233490E-01	3.958360E-01
4.241450E-01	3.984090E-01
4.249440E-01	4.010010E-01
4.257460E-01	4.036160E-01
4.265500E-01	4.062470E-01
4.273540E-01	4.088900E-01
4.281570E-01	4.115440E-01
4.289610E-01	4.142090E-01
4.297660E-01	4.168900E-01
4.305740E-01	4.195950E-01
4.313870E-01	4.223260E-01
4.322020E-01	4.250750E-01
4.330170E-01	4.278370E-01
4.338310E-01	4.306100E-01
4.346460E-01	4.333950E-01
4.354620E-01	4.361990E-01
4.362840E-01	4.390320E-01
4.371100E-01	4.418970E-01
4.379390E-01	4.447800E-01
4.387680E-01	4.476770E-01
4.395960E-01	4.505860E-01
4.404250E-01	4.535080E-01
4.412570E-01	4.564520E-01
4.420950E-01	4.594350E-01
4.429400E-01	4.624520E-01
4.437860E-01	4.654890E-01
4.446320E-01	4.685380E-01
4.454780E-01	4.716020E-01
4.463240E-01	4.746790E-01
4.471740E-01	4.777860E-01
4.480350E-01	4.809440E-01
4.489010E-01	4.841360E-01
4.497670E-01	4.873440E-01
4.506330E-01	4.905670E-01
4.515000E-01	4.938040E-01
4.523680E-01	4.970620E-01
4.532430E-01	5.003610E-01
4.541270E-01	5.037120E-01
4.550160E-01	5.070940E-01
4.559050E-01	5.104910E-01
4.567940E-01	5.139040E-01
4.576820E-01	5.173330E-01
4.585750E-01	5.207940E-01
4.594780E-01	5.243100E-01
4.603890E-01	5.278720E-01
4.613010E-01	5.314580E-01
4.622140E-01	5.350600E-01
4.631260E-01	5.386800E-01
4.640390E-01	5.423200E-01
4.649600E-01	5.460070E-01
4.658910E-01	5.497530E-01
4.668270E-01	5.535370E-01
4.677630E-01	5.573390E-01
4.686990E-01	5.611580E-01
4.696350E-01	5.649960E-01
4.705750E-01	5.688690E-01
4.715250E-01	5.728000E-01
4.724820E-01	5.767820E-01
4.734410E-01	5.807910E-01
4.744000E-01	5.848200E-01
4.753600E-01	5.888680E-01
4.763200E-01	5.929390E-01
4.772860E-01	5.970550E-01
4.782620E-01	6.012360E-01
4.792430E-01	6.054580E-01
4.802250E-01	6.097010E-01
4.812060E-01	6.139640E-01
4.821870E-01	6.182480E-01
4.831710E-01	6.225650E-01
4.841620E-01	6.269370E-01
4.851610E-01	6.313630E-01
4.861630E-01	6.358220E-01
4.871640E-01	6.403040E-01
4.881650E-01	6.448070E-01
4.891670E-01	6.493330E-01
4.901720E-01	6.538980E-01
4.911850E-01	6.585250E-01
4.922040E-01	6.631990E-01
4.932240E-01	6.678990E-01
4.942430E-01	6.726230E-01
4.952630E-01	6.773700E-01
4.962830E-01	6.821430E-01
4.973070E-01	6.869610E-01
4.983390E-01	6.918390E-01
4.993750E-01	6.967600E-01
5.004110E-01	7.017060E-01
5.014470E-01	7.066760E-01
5.024830E-01	7.116710E-01
5.035190E-01	7.166970E-01
5.045610E-01	7.217710E-01
5.056090E-01	7.269030E-01
5.066610E-01	7.320760E-01
5.077120E-01	7.372740E-01
5.087630E-01	7.425000E-01
5.098140E-01	7.477510E-01
5.108670E-01	7.530350E-01
5.119240E-01	7.583720E-01
5.129880E-01	7.637670E-01
5.140540E-01	7.692030E-01
5.151200E-01	7.746660E-01
5.161860E-01	7.801570E-01
5.172530E-01	7.856770E-01
5.183200E-01	7.912300E-01
5.193930E-01	7.968390E-01
5.204720E-01	8.025110E-01
5.215540E-01	8.082250E-01
5.226360E-01	8.139690E-01
5.237180E-01	8.197420E-01
5.247990E-01	8.255440E-01
5.258820E-01	8.313820E-01
5.269700E-01	8.372770E-01
5.280650E-01	8.432390E-01
5.291630E-01	8.492470E-01
5.302610E-01	8.552860E-01
5.313580E-01	8.613560E-01
5.324560E-01	8.674560E-01
5.335540E-01	8.735910E-01
5.346580E-01	8.797830E-01
5.357690E-01	8.860510E-01
5.368830E-01	8.923710E-01
5.379980E-01	8.987230E-01
5.391120E-01	9.051080E-01
5.402270E-01	9.115250E-01
5.413420E-01	9.179750E-01
5.424610E-01	9.244850E-01
5.435890E-01	9.310800E-01
5.447220E-01	9.377360E-01
5.458550E-01	9.444260E-01
5.469880E-01	9.511500E-01
5.481210E-01	9.579080E-01
5.492530E-01	9.647010E-01
5.503910E-01	9.715540E-01
5.515370E-01	9.784980E-01
5.526880E-01	9.855090E-01
5.538400E-01	9.925600E-01
5.549920E-01	9.996480E-01
5.561440E-01	1.006770E+00
5.572960E-01	1.013930E+00
5.584520E-01	1.021150E+00
5.596170E-01	1.028460E+00
5.607870E-01	1.035850E+00
5.619580E-01	1.043280E+00
5.631290E-01	1.050750E+00
5.643010E-01	1.058260E+00
5.654720E-01	1.065810E+00
5.666470E-01	1.073420E+00
5.678290E-01	1.081120E+00
5.690190E-01	1.088910E+00
5.702090E-01	1.096740E+00
5.714000E-01	1.104610E+00
5.725910E-01	1.112530E+00
5.737820E-01	1.120490E+00
5.749760E-01	1.128510E+00
5.761790E-01	1.136630E+00
5.773880E-01	1.144840E+00
5.786000E-01	1.153110E+00
5.798110E-01	1.161420E+00
5.810230E-01	1.169770E+00
5.822340E-01	1.178170E+00
5.834500E-01	1.186640E+00
5.846750E-01	1.195230E+00
5.859080E-01	1.203910E+00
5.871440E-01	1.212650E+00
5.883780E-01	1.221440E+00
5.896140E-01	1.230280E+00
5.908490E-01	1.239160E+00
5.920890E-01	1.248130E+00
5.933410E-01	1.257230E+00
5.946010E-01	1.266440E+00
5.958630E-01	1.275710E+00
5.971250E-01	1.285040E+00
5.983870E-01	1.294410E+00
5.996490E-01	1.303830E+00
6.009190E-01	1.313360E+00
6.022030E-01	1.323050E+00
6.034960E-01	1.332860E+00
6.047900E-01	1.342730E+00
6.060840E-01	1.352660E+00
6.073780E-01	1.362630E+00
6.086730E-01	1.372680E+00
6.099800E-01	1.382870E+00
6.113050E-01	1.393250E+00
6.126370E-01	1.403750E+00
6.139690E-01	1.414310E+00
6.153010E-01	1.424930E+00
6.166330E-01	1.435600E+00
6.179730E-01	1.446390E+00
6.193310E-01	1.457400E+00
6.207060E-01	1.468600E+00
6.220850E-01	1.479910E+00
6.234650E-01	1.491280E+00
6.248440E-01	1.502710E+00
6.262260E-01	1.514230E+00
6.276250E-01	1.525960E+00
6.290510E-01	1.537980E+00
6.304890E-01	1.550180E+00
6.319270E-01	1.562440E+00
6.333640E-01	1.574780E+00
6.348020E-01	1.587190E+00
6.362550E-01	1.599820E+00
6.377410E-01	1.612820E+00
6.392450E-01	1.626050E+00
6.407490E-01	1.639370E+00
6.422530E-01	1.652770E+00
6.437570E-01	1.666270E+00
6.452780E-01	1.680000E+00
6.468340E-01	1.694130E+00
6.484080E-01	1.708530E+00
6.499830E-01	1.723030E+00
6.515580E-01	1.737630E+00
6.531360E-01	1.752360E+00
6.547350E-01	1.767390E+00
6.563670E-01	1.782820E+00
6.580130E-01	1.798490E+00
6.596580E-01	1.814270E+00
6.613040E-01	1.830150E+00
6.629620E-01	1.846260E+00
6.646490E-01	1.862780E+00
6.663610E-01	1.879650E+00
6.680790E-01	1.896710E+00
6.697970E-01	1.913880E+00
6.715200E-01	1.931230E+00
6.732640E-01	1.948920E+00
6.750370E-01	1.967030E+00
6.768210E-01	1.985380E+00
6.786040E-01	2.003860E+00
6.803890E-01	2.022490E+00
6.821820E-01	2.041350E+00
6.839900E-01	2.060500E+00
6.858040E-01	2.079860E+00
6.876180E-01	2.099360E+00
6.894330E-01	2.119000E+00
6.912390E-01	2.138700E+00
6.930290E-01	2.158370E+00
6.948110E-01	2.178090E+00
6.965930E-01	2.197940E+00
6.983740E-01	2.217930E+00
7.001410E-01	2.237900E+00
7.018690E-01	2.257570E+00
7.035690E-01	2.277040E+00
7.052610E-01	2.296560E+00
7.069530E-01	2.316210E+00
7.086440E-01	2.335980E+00
7.103060E-01	2.355540E+00
7.119130E-01	2.374570E+00
7.134940E-01	2.393410E+00
7.150740E-01	2.412360E+00
7.166550E-01	2.431420E+00
7.182350E-01	2.450610E+00
7.197900E-01	2.469600E+00
7.212930E-01	2.488070E+00
7.227670E-01	2.506280E+00
7.242390E-01	2.524570E+00
