[K]_0	X-NO_0	X-NH3_0
9.000000E+02	4.881102E-05	4.839989E+02
1.000001E+03	7.033148E-03	4.839723E+02
1.100013E+03	1.092004E-01	4.836655E+02
1.200151E+03	7.812533E-01	4.806643E+02
1.303766E+03	2.569389E+00	4.471219E+02
1.433820E+03	1.072601E+01	1.338317E+00
1.533362E+03	2.676992E+01	7.902973E-01
1.632837E+03	5.481757E+01	1.682397E-01
1.732298E+03	8.757148E+01	1.383889E-02
1.831838E+03	1.114873E+02	7.284472E-03
