[K]_0	X-NO_0	X-NH3_0
9.00001E+02	1.44368E-02	4.67973E+02
1.00011E+03	6.12954E-01	4.65853E+02
1.10881E+03	2.51254E+01	3.16048E+02
1.26311E+03	2.12854E+02	6.58972E-08
1.36220E+03	3.13189E+02	1.54395E-10
1.46148E+03	3.65101E+02	5.62553E-10
1.56086E+03	3.93084E+02	3.86389E-09
1.66026E+03	4.10989E+02	1.83226E-08
1.75958E+03	4.31924E+02	6.16885E-08
1.85859E+03	5.02771E+02	1.61582E-07
