x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
4.82263E-02	1.78525E-03	3.70384E-02	3.14599E-02	2.12203E-01	4.13742E-02
4.94320E-02	1.84478E-03	3.78445E-02	3.22932E-02	2.14057E-01	4.24349E-02
5.06376E-02	1.90520E-03	3.86231E-02	3.31049E-02	2.15860E-01	4.34868E-02
5.18433E-02	1.96651E-03	3.93948E-02	3.39161E-02	2.17645E-01	4.45490E-02
5.30470E-02	2.02865E-03	4.01664E-02	3.47340E-02	2.19429E-01	4.56319E-02
5.42399E-02	2.09113E-03	4.09381E-02	3.55587E-02	2.21187E-01	4.67193E-02
5.54171E-02	2.15370E-03	4.17098E-02	3.63902E-02	2.22888E-01	4.77915E-02
5.65874E-02	2.21681E-03	4.24815E-02	3.72286E-02	2.24557E-01	4.88625E-02
5.77577E-02	2.28083E-03	4.32531E-02	3.80740E-02	2.26223E-01	4.99511E-02
5.89281E-02	2.34578E-03	4.40248E-02	3.89264E-02	2.27885E-01	5.10570E-02
6.00984E-02	2.41167E-03	4.47935E-02	3.97826E-02	2.29518E-01	5.21625E-02
6.12687E-02	2.47852E-03	4.55445E-02	4.06259E-02	2.31102E-01	5.32528E-02
6.24391E-02	2.54634E-03	4.62691E-02	4.14459E-02	2.32662E-01	5.43452E-02
6.36094E-02	2.61514E-03	4.69819E-02	4.22589E-02	2.34222E-01	5.54556E-02
6.47797E-02	2.68493E-03	4.76947E-02	4.30781E-02	2.35780E-01	5.65824E-02
6.59500E-02	2.75575E-03	4.84075E-02	4.39035E-02	2.37311E-01	5.77082E-02
6.71204E-02	2.82758E-03	4.91203E-02	4.47354E-02	2.38798E-01	5.88188E-02
6.82907E-02	2.90047E-03	4.98331E-02	4.55735E-02	2.40264E-01	5.99306E-02
6.94610E-02	2.97441E-03	5.05459E-02	4.64182E-02	2.41731E-01	6.10595E-02
7.06314E-02	3.04943E-03	5.12587E-02	4.72692E-02	2.43197E-01	6.22056E-02
7.18017E-02	3.12554E-03	5.19669E-02	4.81213E-02	2.44644E-01	6.33540E-02
7.29720E-02	3.20276E-03	5.26592E-02	4.89605E-02	2.46052E-01	6.44875E-02
7.41423E-02	3.28110E-03	5.33335E-02	4.97840E-02	2.47437E-01	6.56181E-02
7.53127E-02	3.36059E-03	5.40012E-02	5.06052E-02	2.48819E-01	6.67628E-02
