[K]_0	X-CO_0	X-CO2_0
9.00000E+02	1.71000E+02	6.32504E-05
9.50000E+02	1.70997E+02	3.18157E-03
1.00386E+03	1.28661E+02	4.34999E+01
1.06492E+03	2.36308E+01	1.59503E+02
1.11763E+03	6.92714E+00	1.84134E+02
1.21923E+03	1.18264E+00	1.98809E+02
1.31927E+03	2.03023E-01	2.02416E+02
1.41892E+03	2.96667E-02	2.02943E+02
