phi         	LBV         
5.000150E-01	1.168130E+01
5.500150E-01	1.571740E+01
6.000000E-01	1.971100E+01
6.500170E-01	2.349160E+01
7.000030E-01	2.696580E+01
7.500000E-01	3.007910E+01
8.000440E-01	3.277520E+01
8.500090E-01	3.505200E+01
8.999810E-01	3.688840E+01
9.499490E-01	3.828750E+01
1.000030E+00	3.925220E+01
1.050000E+00	3.978970E+01
1.100040E+00	3.990280E+01
1.150030E+00	3.961450E+01
1.200020E+00	3.892890E+01
1.249990E+00	3.786200E+01
1.299960E+00	3.643190E+01
1.349990E+00	3.464680E+01
1.399990E+00	3.254990E+01
1.449990E+00	3.015120E+01
1.500050E+00	2.751250E+01
1.550000E+00	2.469610E+01
1.599990E+00	2.179570E+01
