Tinlet       	StrainRate   	dZr          	DSt          	ChiSt        	ChiQu        	ChiStQu      
7.000000E+02 	2.500000E+01 	4.400924E-02 	5.267160E-04 	1.064770E+02 	7.083211E+02 	1.503231E-01 
7.000000E+02 	2.600000E+01 	4.600131E-02 	5.269639E-04 	1.339407E+02 	7.083211E+02 	1.890960E-01 
7.000000E+02 	2.700000E+01 	5.042755E-02 	5.269086E-04 	1.685378E+02 	7.083211E+02 	2.379398E-01 
7.000000E+02 	2.800000E+01 	5.333224E-02 	5.265291E-04 	2.127560E+02 	7.083211E+02 	3.003666E-01 
7.000000E+02 	2.900000E+01 	5.679584E-02 	5.255660E-04 	2.679369E+02 	7.083211E+02 	3.782704E-01 
7.000000E+02 	3.000000E+01 	6.321943E-02 	5.239186E-04 	3.375911E+02 	7.083211E+02 	4.766074E-01 
7.000000E+02 	3.100000E+01 	6.721528E-02 	5.213282E-04 	4.255457E+02 	7.083211E+02 	6.007808E-01 
7.000000E+02 	3.200000E+01 	7.302837E-02 	5.172430E-04 	5.366109E+02 	7.083211E+02 	7.575814E-01 
7.000000E+02 	3.300000E+01 	8.739266E-02 	5.113668E-04 	7.083211E+02 	7.083211E+02 	1.000000E+00 
8.000000E+02 	0.000000E+00 	1.385847E-01 	5.032071E-04 	3.733821E-01 	9.099639E+02 	4.103263E-04 
8.000000E+02 	1.000000E+00 	1.307498E-01 	5.023124E-04 	4.584947E-01 	9.099639E+02 	5.038603E-04 
8.000000E+02 	2.000000E+00 	1.245389E-01 	5.017469E-04 	5.652442E-01 	9.099639E+02 	6.211721E-04 
8.000000E+02 	3.000000E+00 	1.150773E-01 	5.014826E-04 	6.991837E-01 	9.099639E+02 	7.683642E-04 
8.000000E+02 	4.000000E+00 	1.120522E-01 	5.054440E-04 	9.112723E-01 	9.099639E+02 	1.001438E-03 
8.000000E+02 	5.000000E+00 	1.094263E-01 	5.056242E-04 	1.132676E+00 	9.099639E+02 	1.244748E-03 
8.000000E+02 	6.000000E+00 	1.078182E-01 	5.060273E-04 	1.411315E+00 	9.099639E+02 	1.550957E-03 
8.000000E+02 	7.000000E+00 	1.059157E-01 	5.065746E-04 	1.759843E+00 	9.099639E+02 	1.933970E-03 
8.000000E+02 	8.000000E+00 	1.049442E-01 	5.073140E-04 	2.198047E+00 	9.099639E+02 	2.415532E-03 
8.000000E+02 	9.000000E+00 	2.868044E-02 	5.082230E-04 	2.750014E+00 	9.099639E+02 	3.022113E-03 
8.000000E+02 	1.000000E+01 	2.885936E-02 	5.092689E-04 	3.443846E+00 	9.099639E+02 	3.784596E-03 
8.000000E+02 	1.100000E+01 	2.851644E-02 	5.104208E-04 	4.315616E+00 	9.099639E+02 	4.742623E-03 
