Temperature	X-C5H5N
6.00000e+2	1.75676e-4
8.94194e+2	1.74324e-4
9.43226e+2	1.74662e-4
9.92258e+2	8.71622e-5
1.04516e+3	0.00000e+0
1.09290e+3	0.00000e+0
1.14323e+3	0.00000e+0
1.19484e+3	0.00000e+0
1.25032e+3	0.00000e+0
1.29290e+3	0.00000e+0
1.34194e+3	0.00000e+0
1.38323e+3	0.00000e+0
1.44258e+3	0.00000e+0
1.49806e+3	0.00000e+0
