DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
1.592000E+03 	1.500000E+03 	3.700000E+01 	8.777860E-01 	6.767006E-01 
1.620000E+03 	1.500000E+03 	3.700000E+01 	9.561560E-01 	5.539021E-01 
1.664000E+03 	1.500000E+03 	3.600000E+01 	1.129644E+00 	4.458704E-01 
1.686000E+03 	1.500000E+03 	3.700000E+01 	7.664557E-01 	4.888832E-01 
1.704000E+03 	1.500000E+03 	3.700000E+01 	7.733820E-01 	3.462041E-01 
1.707000E+03 	1.500000E+03 	3.700000E+01 	8.270268E-01 	6.651826E-01 
1.717000E+03 	1.500000E+03 	3.700000E+01 	8.080139E-01 	2.192537E-01 
1.761000E+03 	1.500000E+03 	3.700000E+01 	7.558618E-01 	3.984838E-01 
1.773000E+03 	1.500000E+03 	3.700000E+01 	7.956407E-01 	6.472792E-01 
1.780000E+03 	1.500000E+03 	3.700000E+01 	7.952654E-01 	1.092284E+00 
1.813000E+03 	1.500000E+03 	3.700000E+01 	7.313903E-01 	7.076763E-01 
1.824000E+03 	1.500000E+03 	3.700000E+01 	8.212976E-01 	4.646729E-01 
1.938000E+03 	1.500000E+03 	3.700000E+01 	9.809744E-01 	2.844499E-01 
1.953000E+03 	1.500000E+03 	3.700000E+01 	7.917585E-01 	1.160040E+00 
1.973000E+03 	1.500000E+03 	3.700000E+01 	1.009982E+00 	3.008564E-01 
1.985000E+03 	1.500000E+03 	3.700000E+01 	8.466457E-01 	3.284216E-01 
1.998000E+03 	1.500000E+03 	3.700000E+01 	9.121313E-01 	4.929960E-01 
2.108000E+03 	1.500000E+03 	3.700000E+01 	6.975356E-01 	1.199205E+00 
2.207000E+03 	1.500000E+03 	3.700000E+01 	8.497782E-01 	3.393594E-01 
2.233000E+03 	1.500000E+03 	3.700000E+01 	8.484707E-01 	5.452112E-01 
2.262000E+03 	1.500000E+03 	3.700000E+01 	8.597230E-01 	2.599347E-01 
