phi         	LBV         
5.000120E-01	1.371240E+01
5.500020E-01	1.942380E+01
6.000140E-01	2.552800E+01
6.499900E-01	3.173990E+01
7.000040E-01	3.784550E+01
7.500000E-01	4.365990E+01
8.000180E-01	4.906830E+01
8.500040E-01	5.392440E+01
9.000040E-01	5.820050E+01
9.500190E-01	6.181350E+01
1.000000E+00	6.475570E+01
1.050000E+00	6.692960E+01
1.099980E+00	6.833020E+01
1.150010E+00	6.887650E+01
1.199970E+00	6.854000E+01
1.250010E+00	6.725500E+01
1.300030E+00	6.501050E+01
1.349970E+00	6.178370E+01
1.399990E+00	5.771060E+01
