phi         	LBV         
7.000100E-01	1.602320E+01
7.499740E-01	1.947330E+01
8.000210E-01	2.270670E+01
8.500390E-01	2.556820E+01
8.999740E-01	2.796750E+01
9.500130E-01	2.978650E+01
1.000000E+00	3.097780E+01
1.050030E+00	3.143550E+01
1.099940E+00	3.107860E+01
1.150030E+00	2.979780E+01
1.200040E+00	2.755140E+01
1.250070E+00	2.431240E+01
1.299990E+00	2.051050E+01
1.349940E+00	1.662610E+01
1.399960E+00	1.306850E+01
