Reactions	Percentage
R944: NCN+NO=N2O+CN	-0.002860670340442362
R878: C2H3+NO=CH2O+HCN	-0.14351824437307725
R872: CH3+NO=OH+H2CN	-0.2298620777323275
R879: CH3+NO=H2O+HCN	-0.23727837466476465
R792: NH+NO=OH+N2	-0.2773398918064888
R876: CH+NO=OH+CN	-0.5107360324502337
R874: TXCH2+NO=OH+HCN	-0.8985014350106161
R794: NH2+NO=OH+NNH	-4.974016939286057
R877: SXCH2+NO=OH+HCN	-5.9109859205772475
R875: CH+NO=H+NCO	-8.357612533581651
R920: NCO+NO=CO2+N2	-11.951320246723233
R791: NH2+NO=H2O+N2	-13.73161311109022
R873: HCCO+NO=CO2+HCN	-16.09414646689561
R871: CH+NO=O+HCN	-36.6797712064484
