phi         	LBV         
5.000120E-01	1.359400E+01
5.500020E-01	1.928210E+01
6.000140E-01	2.538230E+01
6.499900E-01	3.159200E+01
7.000040E-01	3.772160E+01
7.500000E-01	4.357130E+01
8.000180E-01	4.901910E+01
8.500040E-01	5.391170E+01
9.000040E-01	5.817910E+01
9.500190E-01	6.177720E+01
1.000000E+00	6.468510E+01
1.050000E+00	6.676810E+01
1.099980E+00	6.808400E+01
1.150010E+00	6.849250E+01
1.199970E+00	6.798150E+01
1.250010E+00	6.653560E+01
1.300030E+00	6.408550E+01
1.349970E+00	6.067990E+01
1.399990E+00	5.644660E+01
