         time	  rf_minus_rp
5.000686E-04	-1.000000E+00
6.357470E-04	-1.000000E+00
7.714254E-04	-1.000000E+00
9.071038E-04	-1.000000E+00
1.042782E-03	-1.000000E+00
1.178461E-03	-1.000000E+00
1.314139E-03	-1.000000E+00
1.449817E-03	-1.000000E+00
1.585496E-03	-1.000000E+00
1.721174E-03	-1.000000E+00
1.856853E-03	-1.000000E+00
1.992531E-03	-1.000000E+00
2.128209E-03	-1.000000E+00
2.263888E-03	-1.000000E+00
2.399566E-03	-1.000000E+00
2.535245E-03	-1.000000E+00
2.670923E-03	-1.000000E+00
2.806601E-03	-1.000000E+00
2.942280E-03	-1.000000E+00
3.077958E-03	-1.000000E+00
3.213637E-03	-1.000000E+00
3.349315E-03	-1.000000E+00
3.484993E-03	-1.000000E+00
3.620672E-03	-1.000000E+00
3.756350E-03	-1.000000E+00
3.892029E-03	-1.000000E+00
4.027707E-03	-1.000000E+00
4.163385E-03	-1.000000E+00
4.299064E-03	2.256176E+00
4.434742E-03	2.470617E+00
4.570421E-03	2.668141E+00
4.706099E-03	2.847104E+00
4.841777E-03	3.006547E+00
4.977456E-03	3.146156E+00
5.113134E-03	3.266209E+00
5.248813E-03	3.367511E+00
5.384491E-03	3.451323E+00
5.520169E-03	3.519278E+00
5.655848E-03	3.573299E+00
5.791526E-03	3.615516E+00
5.927205E-03	3.648178E+00
6.062883E-03	3.673580E+00
6.198561E-03	3.693987E+00
6.334240E-03	3.711565E+00
6.469918E-03	3.728325E+00
6.605597E-03	3.746069E+00
6.741275E-03	3.766351E+00
6.876953E-03	3.790442E+00
7.012632E-03	3.819311E+00
7.148310E-03	3.853605E+00
7.283989E-03	3.893650E+00
7.419667E-03	3.939451E+00
7.555345E-03	3.990704E+00
7.691024E-03	4.046812E+00
7.826702E-03	4.106910E+00
7.962381E-03	4.169897E+00
8.098059E-03	4.234462E+00
8.233737E-03	4.299128E+00
8.369416E-03	4.362286E+00
8.505094E-03	4.422235E+00
8.640773E-03	4.477226E+00
8.776451E-03	4.525501E+00
8.912129E-03	4.565330E+00
9.047808E-03	4.595052E+00
9.183486E-03	4.613105E+00
9.319165E-03	4.618064E+00
9.454843E-03	4.608664E+00
9.590521E-03	4.583828E+00
9.726200E-03	4.542686E+00
9.861878E-03	4.484590E+00
9.997557E-03	4.409127E+00
1.013323E-02	4.316127E+00
1.026891E-02	4.205661E+00
1.040459E-02	4.078043E+00
1.054027E-02	3.933823E+00
1.067595E-02	3.773777E+00
1.081163E-02	3.598893E+00
1.094731E-02	3.410353E+00
1.108298E-02	3.209516E+00
1.121866E-02	2.997893E+00
1.135434E-02	2.777124E+00
1.149002E-02	2.548953E+00
1.162570E-02	2.315199E+00
1.176138E-02	2.077731E+00
1.189705E-02	1.838439E+00
